xml:id	Lemma	Wortart	Level	Definition	Konzept
CD00352	desseit	pr&#x00e4;p.		diesseit	kein_Trinken
CD00608	Dopp	m.		f. Kreisel	kein_Trinken
CS01884	Stach	m.		Stich	kein_Trinken
CG00871	glitschen	intr. v.	1	ausgleiten	kein_Trinken
CZ00153	Zippel	m.	1	Zipfel eines Tuchs, Spitze überh. Wdg	kein_Trinken
CS00822	Schmatt			Schmied	kein_Trinken
CB01799	Butzert	m.		Kuß	kein_Trinken
CB00961	plaschtern	intr. v.	1	salben, gegen eine Krankheit ankämpfen	kein_Trinken
CW00182	webben	tr. v.		schlagen, hauen	kein_Trinken
CO00148	on-preiwich	adj.		unbeholfen, unfähig, unbrauchbar	kein_Trinken
CS00096	Sam	m.		Saum eines Kleidungsstückes	kein_Trinken
CG00821	glännerich	adj.		glänzend	kein_Trinken
CS00402	Scheld				kein_Trinken
CH00376	heichelich	adj.		heuchlerisch	kein_Trinken
CG00186	Gebirjere			Hom	kein_Trinken
CL00243	lehren	tr. v.		lernen u. lehren	kein_Trinken
CH00126	Hampert	n.		Handwerk	kein_Trinken
CS00387	Scheif	f.	1	Zielscheibe	kein_Trinken
CS02314	Strick-gar	n.		allg. Strickgarn	kein_Trinken
CB01152	Boben	m.	1	Bezeichnung für alle Arten Käfer	kein_Trinken
CE00362	Etzel	n.		Wiese, die von einer Hecke umgeben und eingeschlossen ist	kein_Trinken
CF00123	Vaul				kein_Trinken
CL00070	Lakai	m.		Diener, Bedienter	kein_Trinken
CK01469	Kuttel	f.	1	Darm, Eingeweide	kein_Trinken
CK00264	Kät	f.		Kollekte, Geldsammeln in der Kirche	kein_Trinken
CS00195	säweren		a)	sich beschmutzen durch Speichel od. Essen, das aus dem Munde fällt; geifern	kein_Trinken
CB00763	Piff	f.	1	Pfeife (zum Pfeifen u. zum Rauchen	kein_Trinken
CD00076	Da'lohn			Tagelohn	kein_Trinken
CG00883	Gloes		1	Klaudius	kein_Trinken
CL00498	Lonkech			Longwy, französ. Stadt u. Festung unweit der belgisch-luxemburg. Grenze	kein_Trinken
CD00254	deiten	intr. v.		deuten, mit dem Finger zeigen	kein_Trinken
