"srcid"	"srclemma"	"tgtid"	"tgtlemma"	"tgtlevel"	"tgtdef"	"Konzept"
"E00146"	"Edel-wein"	"W00685"	"Edelwin"		"feine Sorte Weisswein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"E00257"	"Ehr-wein"	"W00686"	"&#x2020;Ehrwein"		"Ehrenwein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"E01315"	"Elfuhr-messe"	"M01217"	"Elferm&#x00eb;ss"		"übtr. Frühschoppen. In der guten, alten Zeit durften die Wirtshäuser am Sonntag Vormittag vor Schluss des Gottesdienstes um 11 Uhr keine Gäste aufnehmen; der Wirtshausgang um diese Zeit wurde dann scherzhaft E. genannt "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk"
"F01791"	"ver-lechen"	"L00173"	"verl&#x00eb;chen"	"2."	"austrocknen, verschmachten vor Durst "	"Durst"
"F05806"	"Fusel"	"F00900"	"Fusel"		"geringer, schlechter Branntwein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"G00355"	"G&#x00e4;nse-wein"	"W00688"	"G&#x00e4;nswin"		"schlechter Wein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"G01375"	"Gei&#x00df;(en)-milch"	"M00571"	"Geisenmilch"	"1."	"Ziegenmilch"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"
"G03410"	"gluckern"	"G01325"	"gluckeren"		"schlürfen, trinken "	"Trinken.Geräuschvoll_trinken"
"G04443"	"Grundbirn(en)-branntwein"	"W00690"	"Grumbirenbr&#x00eb;nntewin"		"Branntwein aus gegorenen Kartoffeln "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"G04745"	"G&#x00fc;ckes"	"G00282"	"Giges, Gigs"		"schlechter Branntwein, Fusel; schlechter Wein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"K00043"	"Kaffee"	"K00182"	"Kaffee, Kaffi"	"1."	"Kaffee "	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"
"K00062"	"Kaffee-geschlapper"	"S02507"	"Kaffeeschlabber"		"schlechter Kaffee "	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"
"K02285"	"Kirsch(en)-wasser"	"W01168"	"Kirsenwasser, Kirschenwasser"		"Branntwein aus Kirschen "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"K04340"	"Krabbel-an-der-Wand"	"K02026"	"Kr&#x00e4;bel"		"Branntwein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"L00533"	"l&#x00e4;ppern"	"L01063"	"l&#x00e4;pperen"	"1."	"schlürfen, schlappern (von Hunden); langsam und behaglich, langsam trinken "	"Trinken.Geräuschvoll_trinken; Trinken.Langsam_kleine_Mengen_trinken "
"L00750"	"L&#x00e4;uer"	"L01179"	"Lur(e), L&#x00fc;r"	"1."	"leichter Wein, hergestellt durch Vermischen mit Wasser oder durch Übergiessen der Treber "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"L00750"	"L&#x00e4;uer"	"L01179"	"Lur(e), L&#x00fc;r"	"2."	"ein Getränk, im Herbst aus wilden Früchten und etwas Wein hergestellt "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"L00750"	"L&#x00e4;uer"	"L01179"	"Lur(e), L&#x00fc;r"	"3."	"schlechter Schnaps "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"L00750"	"L&#x00e4;uer"	"L01179"	"Lur(e), L&#x00fc;r"	"4."	"schlechte Brühe überhaupt, bes. Kaffee "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"L01433"	"Leim(en)-br&#x00fc;he"	"P03723"	"Leimenbr&#x00fc;ej"		"scherzhaft für den lehmfarbigen neuen Wein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"L02239"	"l&#x00f6;schen"	"L01367"	"leschen"		"löschen (Feuer, Durst, Staub) "	"Trinken"
"M01688"	"Met"	"M01516"	"M&#x00eb;t(er)"		"Met"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk"
"M01838"	"Milch"	"M00566"	"Milch"		"Milch"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"
