srcid	srclemma	tgtid	tgtlemma	tgtgram	concept_PfWb
PS04953	Schockele-majem	ES01721	Schok&#x00e4;la, Schokela		Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
PS04986	Schokolade	ES01721	Schok&#x00e4;la, Schokela		Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kakao
PS05045	sch&#x00f6;pfen	ES02060	schepfen		Trinken.Schnell_große_Mengen_trinken
PS05980	schw&#x00e4;chen2	ES03812	schw&#x00e4;chen		Trinken.Alkohol_trinken
PS06158	schweappeln	ES03943	schwapplen		Trinken.Alkohol_trinken;Trinken.Schnell_große_Mengen_trinken
PS06159	schwappen	ES03943	schwapplen		Trinken.Alkohol_trinken;Trinken.Schnell_große_Mengen_trinken
PS06319	schwefeln1	ES03804	schw&#x00eb;blen		Trinken.Alkohol_trinken
PS09424	Spritzer	ES04532	Spritzer		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk
PS09525	spulen	ES04138	spuelen  I		Trinken.Schnell_große_Mengen_trinken
PS10098	stauben	ES04592	st&#x00e4;&#x00fc;ben		Trinken.Alkohol_trinken
PS10171	stechen	ES04650	st&#x00eb;chen		Trinken.Alkohol_trinken
PS10586	stemmen	ES05101	st&#x00eb;mmen		Trinken.Alkohol_trinken
PS10768	Stich-wein	EW00706	&#x2020;Stichwin		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PS10811	Stieber	ES04639	St&#x00fc;ber		Durst
PS11136	Stoff	ES04756	Stuft		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk
PS11336	Storzen	ES05483	Storze		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier;Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PS11349	sto&#x00df;en	ES05515	stossen		Trinken.Alkohol_trinken;Trinken.Schnell_große_Mengen_trinken
PS12215	st&#x00fc;lpen	ES05078	hinuf st&#x00fc;lpen		Trinken.Alkohol_trinken
PS12380	st&#x00fc;rzen	ES05500	st&#x00fc;rzen		Trinken.Alkohol_trinken
PS12471	suckeln	ES00608	suckelen		Trinken
PS12520	Suff	ES00290	Suff		Trinken.Alkohol_trinken;Trinken.Schnell_große_Mengen_trinken
PS12524	s&#x00fc;ffeln	ES00306	s&#x00fc;fflen		Trinken.Langsam_kleine_Mengen_trinken
PU00207	&#x00fc;ber-sehen	ES00451	&#x00fc;bers&#x00eb;h(n)		Trinken.Alkohol_trinken
PW00614	wamschen	EW00659	wamsen		Trinken.Alkohol_trinken
PW00931	Wasser	EW01152	Wasser		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
PW01705	weinen	EW00673	weinen		Trinken.Alkohol_trinken
PW01814	Wein-suppe	ES01062	Winsupp(e)		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PW01880	wei&#x00df;eln	EW01258	wissen  I		Trinken.Alkohol_trinken;Trinken.Schnell_große_Mengen_trinken
PW02221	Wermut	EW01009	Wermuet		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
PW03721	Wurf	EW00948	Wurf II		Getränk
PZ00485	zerren	EZ00499	zerren		Trinken.Alkohol_trinken
PZ00541	Zichorie	ES01716	Schikkore, Zickori		Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffeeersatz
PZ00847	zipfeln	EZ00472	zipflen		Trinken.Langsam_kleine_Mengen_trinken
PZ01382	zupfen	EZ00480	zopfen, zupfen		Trinken.Alkohol_trinken
PZ01410	zu-richten	ER00221	zue richten		Trinken.Alkohol_trinken
PZ02125	zwitschern	EZ00744	zwitscheren		Trinken.Alkohol_trinken
