"den Zapfhahn in ein Bier oder Weinfaß treiben"	"kein_Trinken"
"den Zwetschgen oder Birnenschnaps zum zweitenmal brennen"	"kein_Trinken"
"der 4. Teil eines Maßes"	"kein_Trinken"
"der Rausch, den man sich antrinkt"	"kein_Trinken"
"der Stechheber, mit dem man Weinproben zieht"	"kein_Trinken"
"die aus Hopfen gewonnene Bierwürze"	"kein_Trinken"
"die Wirtschaft, in die man regelmäßig zu gehen pflegt"	"kein_Trinken"
"die Zeche bezahlen"	"kein_Trinken"
"Dorfwirtshaus"	"kein_Trinken"
"durch amtliche Weinprüfer zum Ausschank bestimmen"	"kein_Trinken"
"durch den Faßzapfen ausschenken"	"kein_Trinken"
"durch den Genuß von zuviel Alkohol eintretende Bewußtseinsverwirrung"	"kein_Trinken"
"durch Genuß von zuviel Schnaps eintretende Bewußtseinsverwirrung"	"kein_Trinken"
"durch mehrere Wirtshäuser ziehen"	"kein_Trinken"
"durch Trinken verprassen"	"kein_Trinken"
"durch übermässiges Trinken seine Gesundheit untergraben"	"kein_Trinken"
"ein Getränk mit Wasser verdünnen"	"kein_Trinken"
"ein herumtorkelnder Betrunkener"	"kein_Trinken"
"ein kleiner Rausch"	"kein_Trinken"
"ein malzhaltiges Hustenbonbon"	"kein_Trinken"
"ein schlechtes Gasthaus"	"kein_Trinken"
"ein Trinker"	"kein_Trinken"
"ein Weinkenner"	"kein_Trinken"
"ein wenig betrunken"	"kein_Trinken"
"ein Wirt, der sich nicht um die Gäste kümmert"	"kein_Trinken"
"eine Gastwirtschaft betreiben"	"kein_Trinken"
"einen Rausch haben"	"kein_Trinken"
"einen Spielzettel haben = betrunken sein"	"kein_Trinken"
"einer, der nur für seinen Bauch sorgt, der immer essen u. trinken möchte"	"kein_Trinken"
"einfache Weingaststätte"	"kein_Trinken"
"einfaches Gasthaus, bes. für wandernde Handwerksburschen"	"kein_Trinken"
"einflößen"	"kein_Trinken"
"Einkehr"	"kein_Trinken"
"einkehren"	"kein_Trinken"
"einschenken"	"kein_Trinken"
"einschenken, von Getränken"	"kein_Trinken"
"eiserne Stange, an der das Wirtshausschild angebracht ist"	"kein_Trinken"
"Essen, Getränke auftragen, auftischen"	"kein_Trinken"
"Faß zur Schnapsbereitung aus Zwetschgenfallobst"	"kein_Trinken"
"Faßhahn; kleiner Holzhahn am Faß zum Abfüllen des Weins in Gläser"	"kein_Trinken"
"fast allg. das Vieh auf die Tränke führen, ihm zu trinken geben"	"kein_Trinken"
"feststellen, wieviel einer auf einen Sitz trinken kann"	"kein_Trinken"
"flaches Holz zum Abstreichen des Bierschaums"	"kein_Trinken"
"Flasche"	"kein_Trinken"
"Flasche für Mineralwasser"	"kein_Trinken"
"Flasche, Feldflasche"	"kein_Trinken"
"Flaschenbier"	"kein_Trinken"
"Frau des Gastwirtes, Wirtin"	"kein_Trinken"
"Frühschoppen"	"kein_Trinken"
"für das Kassieren zuständige Bedienung in Lokalen"	"kein_Trinken"
"für Getränke ausgeben"	"kein_Trinken"
"gährender Most"	"kein_Trinken"
"ganz betrunken"	"kein_Trinken"
"Garten einer Bierwirtschaft"	"kein_Trinken"
"Gartenwirtschaft"	"kein_Trinken"
"Gasthaus mit Schnapsausschank"	"kein_Trinken"
"Gasthaus zum Adler"	"kein_Trinken"
"Gasthaus zum Hirsch"	"kein_Trinken"
"Gasthaus zum Pflug"	"kein_Trinken"
"Gasthaus, das vorwiegend zum Zweck des Trinkens besucht wird"	"kein_Trinken"
"Gasthaus, in dem auch Pferde und Fuhrwerke eingestellt werden können"	"kein_Trinken"
"Gasthaus, Lokal"	"kein_Trinken"
"Gasthausbezeichnung"	"kein_Trinken"
"Gasthausname"	"kein_Trinken"
"Gasthausnamen"	"kein_Trinken"
"Gaststätte mit Übernachtungsmöglichkeit"	"kein_Trinken"
"Gaststättennebenraum für Gesellschaften an Kirchweih, Festen; Herrenzimmer"	"kein_Trinken"
"Gaststube"	"kein_Trinken"
"Gastwirt"	"kein_Trinken"
"Gastwirt eines Gasthauses mit Namen Stern"	"kein_Trinken"
"Gastwirt Musikantenspr"	"kein_Trinken"
"Gastwirtin"	"kein_Trinken"
"Gastwirtschaft"	"kein_Trinken"
"Gastwirtschaft für bescheidene Ansprüche, Kneipe"	"kein_Trinken"
"Gastwirtschaft mit bescheidenen Ansprüchen, Branntweinschenke"	"kein_Trinken"
"Gastwirtschaft mit Weinausschank"	"kein_Trinken"
"Gastwirtschaft mit zweifelhaftem Ruf"	"kein_Trinken"
"Gastwirtschaft von zweifelhaftem Ruf"	"kein_Trinken"
"Gastwirtschaft, deren Schild eine Bürste zeigte"	"kein_Trinken"
"Gastwirtschaft, Gaststätte"	"kein_Trinken"
"Gastwirtschaft, Herberge"	"kein_Trinken"
"Gastwirtschaft, in der man den letzten Groschen ausgibt"	"kein_Trinken"
"Gastwirtstochter, oft gleichzeitig Kellnerin"	"kein_Trinken"
"Gefäß zum Trinken"	"kein_Trinken"
"Gehilfe beim Ausschank"	"kein_Trinken"
"Geistesschwäche, Unzurechenbarkeit infolge Trunkenheit, Delirium"	"kein_Trinken"
"Gelage"	"kein_Trinken"
"Geld für Näschereien ausgeben"	"kein_Trinken"
"Geld für Schnaps ausgeben"	"kein_Trinken"
"geschäftsuntüchtiger Gastwirt"	"kein_Trinken"
"Getränk durch den Zapfen aus dem Faß auslassen"	"kein_Trinken"
"Getränke ausschenken"	"kein_Trinken"
"Getränke eingießen; das Glas gut schlecht füllen"	"kein_Trinken"
"gewohnheitsmäßiger Wirtshaussitzer"	"kein_Trinken"
"gezapft"	"kein_Trinken"
"Glasflasche für Branntwein"	"kein_Trinken"
"Glocke, die nachts zum Schließen des Wirtshauses läutet"	"kein_Trinken"
"große Menge getrunkenen Alkohols"	"kein_Trinken"
"grosse, blaue Traubenart, die selten reif wird. Der Wein erhält durch sie eine gefällige Farbe"	"kein_Trinken"
"großer Hahn am Faß"	"kein_Trinken"
"großer Rausch"	"kein_Trinken"
"großes TrinkGefäß von 2  5 l Inhalt"	"kein_Trinken"
"größter Raum in einer Wirtschaft"	"kein_Trinken"
"grünes Weinglas"	"kein_Trinken"
"gut zu trinken, wohlschmeckend"	"kein_Trinken"
"gut zum Trinken, trinkbar"	"kein_Trinken"
"Hahn am Bierfaß"	"kein_Trinken"
"Hahn am Faß, am Schanktresen"	"kein_Trinken"
"häufig zechende, dem Alkohol ergebene Gesellschaft auch Schimpfw"	"kein_Trinken"
"häufiger Besuch im Gasthaus"	"kein_Trinken"
"Haus, in dem man beköstigt wird"	"kein_Trinken"
"heimlicher Trinker, Säufer"	"kein_Trinken"
"Herberge Sprache der Handwerksburschen"	"kein_Trinken"
"Herbergswirt, Besitzer einer Herberge"	"kein_Trinken"
"Herbergswirtin, Frau des Herbergswirts, des Besitzers einer Herberge"	"kein_Trinken"
"Hilfskräfte, die bei großen Veranstaltungen den Gästen den Wein bringen"	"kein_Trinken"
"hohe Schaumkrone auf dem Bier"	"kein_Trinken"
"Holzgerät, mit dem der Hahn ins Faß geschlagen wird"	"kein_Trinken"
"Humpen"	"kein_Trinken"
"Hustenbonbon"	"kein_Trinken"
"im Ausruf des Unmuts"	"kein_Trinken"
"im Wirtshausnamen"	"kein_Trinken"
"in die Straße ragendes Wirtshausschild"	"kein_Trinken"
"in Schnaps vertrinken"	"kein_Trinken"
"Inhaber der Gastwirtschaft ""Zur Bürste"""	"kein_Trinken"
"Inhaber der Wirtschaft zum Bock in KLFischb"	"kein_Trinken"
"Inhaber einer Bierwirtschaft"	"kein_Trinken"
"Inhaber einer Gastwirtschaft von zweifelhaftem Ruf"	"kein_Trinken"
"Inhaber einer Herberge für Durchreisende"	"kein_Trinken"
"Inhaberin des Gasthauses ""Zum Hirsch"""	"kein_Trinken"
"Inhaberin einer Gastwirtschaft von zweifelhaftem Ruf"	"kein_Trinken"
"irgend ein Gegenstand, an dem gesogen wird"	"kein_Trinken"
"jemanden durch Spendung geistiger Getränke zu gewinnen suchen"	"kein_Trinken"
"Kaffeebäuche, Spottname der Saargemünder wegen ihrer Vorliebe für Kaffee"	"kein_Trinken"
"Kaffeebohne"	"kein_Trinken"
"Kaffeebohnen, auch in gemahlenem Zustand"	"kein_Trinken"
"Kaffeegeschirr; Topf, in welchem der Kaffee schnell zubereitet werden kann"	"kein_Trinken"
"Kaffeehaus"	"kein_Trinken"
"Kaffeekanne"	"kein_Trinken"
"Kaffeesatz"	"kein_Trinken"
"Kaffeeschwester"	"kein_Trinken"
"Kaffeesieb"	"kein_Trinken"
"kandierte Zitronenschale ein Gewürz bes. für Christstollen"	"kein_Trinken"
"Kantine"	"kein_Trinken"
"Kantinenwirt"	"kein_Trinken"
"Karamellbonbon"	"kein_Trinken"
"Katzenjammer mit vor Schmerzen brummendem Kopf"	"kein_Trinken"
"Katzenjammer nach übermäßigem Alkoholgenuß"	"kein_Trinken"
"Katzenjammer, starkes Unbehagen, Ermattung als Folge des Alkoholgenusses"	"kein_Trinken"
"Kellner"	"kein_Trinken"
"Kellner, der ausschenkt"	"kein_Trinken"
"Kellner, der Speisen aufträgt"	"kein_Trinken"
"Kellnerin"	"kein_Trinken"
"Kellnerin, Bedienung im Gasthaus"	"kein_Trinken"
"kleine Brenke, in die das Tropfbier vom Hahn hineintropft"	"kein_Trinken"
"kleine Schlucke"	"kein_Trinken"
"kleine Speisegaststätte"	"kein_Trinken"
"kleine, unsaubere Wirtschaft"	"kein_Trinken"
"kleiner Rausch"	"kein_Trinken"
"kleiner Rausch, Dreiviertelrausch"	"kein_Trinken"
"kleiner Rausch, Halberrücktheit"	"kein_Trinken"
"kleines flaches Schnapsfläschchen für die Tasche"	"kein_Trinken"
"kleines Glas Wein, Viertelchen"	"kein_Trinken"
"kleines Weinglas"	"kein_Trinken"
"kleines Weinlokal"	"kein_Trinken"
"kleines, minderes Wirtshaus"	"kein_Trinken"
"kleines, unordentliches Gasthaus"	"kein_Trinken"
"Kneipe"	"kein_Trinken"
"Konzession für die Eröffnung einer Gastwirtschaft"	"kein_Trinken"
"Korkstöpsel, Pfropfen"	"kein_Trinken"
"kosten"	"kein_Trinken"
"kosten; versuchen, wie etwas schmeckt"	"kein_Trinken"
"leicht betrunken"	"kein_Trinken"
"leichter Alkoholrausch"	"kein_Trinken"
"leichter Rausch"	"kein_Trinken"
"leichterer Rausch"	"kein_Trinken"
"leichterer Rausch durch Alkohol"	"kein_Trinken"
"Liste der ortsbekannten Säufer"	"kein_Trinken"
"Lokal, in dem man Getränke zu sich nimmt"	"kein_Trinken"
"Lump, Verschwender, Trunkenbold"	"kein_Trinken"
"Lump, Verschwender, Trunkenbold, schlechter Mensch"	"kein_Trinken"
"Mädchen, das serviert"	"kein_Trinken"
"mehr oder weniger betrunken"	"kein_Trinken"
"Menge, die auf einmal geschluckt wird; der einmalige Schluckvorgang"	"kein_Trinken"
"Mensch, der gerne einen über den Durst trinkt, Trunkenbold"	"kein_Trinken"
"Mensch, der im Essen u. Trinken nicht recht zugreift"	"kein_Trinken"
"Milchschokolade"	"kein_Trinken"
"Milchtopf"	"kein_Trinken"
"mild, säure und schwefelarm; trüb vom Wein"	"kein_Trinken"
"mit dem Ausschank beginnen"	"kein_Trinken"
"müde nach durchzechter Nacht"	"kein_Trinken"
"Musikantenspr Wirt"	"kein_Trinken"
"nach Schnaps riechender Atem"	"kein_Trinken"
"nachlässig geführte Wirtschaft"	"kein_Trinken"
"Name einer Gastwirtschaft in FRHertlhs"	"kein_Trinken"
"Name eines Gasthauses"	"kein_Trinken"
"Name eines Gasthauses ""Zum Storchen"""	"kein_Trinken"
"Name eines Gasthauses in LUAltr"	"kein_Trinken"
"Name von Gasthäusern"	"kein_Trinken"
"Name von Gasthäusern ""Zum Ochsen"""	"kein_Trinken"
"Name von Gaststätten"	"kein_Trinken"
"Nebenzimmer im Gasthaus für besondere Gäste"	"kein_Trinken"
"nicht bezahlte Zeche"	"kein_Trinken"
"nicht zahlender Zechgenosse"	"kein_Trinken"
"nichts arbeiten und statt dessen im Wirtshaus liegen und trinken"	"kein_Trinken"
"notorischer Branntweintrinker"	"kein_Trinken"
"notorischer Schnapstrinker"	"kein_Trinken"
"notorischer Trinker"	"kein_Trinken"
"Oberkellner"	"kein_Trinken"
"Oberkellner, Kellner"	"kein_Trinken"
"Obstweinfaß"	"kein_Trinken"
"Personifizierung des Alkoholismus"	"kein_Trinken"
"persönliches Trinkglas des Stammgastes in der Wirtschaft"	"kein_Trinken"
"Quartalssäufer"	"kein_Trinken"
"Rast im Gasthaus"	"kein_Trinken"
"Raum in der Wirtschaft, in der der Ausschank ist"	"kein_Trinken"
"Rausch"	"kein_Trinken"
"Rausch durch Alkohol"	"kein_Trinken"
"Rausch durch Alkohol, bes. vom Quartalsrausch"	"kein_Trinken"
"Rausch, Betäubung durch geistige Getränke"	"kein_Trinken"
"Rausch, Saufgelage"	"kein_Trinken"
"Räuschchen"	"kein_Trinken"
"regelmäßige Wirtshausbesuche von Stammgästen"	"kein_Trinken"
"Restaurant"	"kein_Trinken"
"rote Nase eines Säufers"	"kein_Trinken"
"Rückstand beim Apfelkeltern"	"kein_Trinken"
"Sahne auf dem Kaffee"	"kein_Trinken"
"Säufer"	"kein_Trinken"
"Säufer allg."	"kein_Trinken"
"Säufer, Alkoholiker"	"kein_Trinken"
"Säufer, Lump"	"kein_Trinken"
"Säufer, sinnlos Betrunkener"	"kein_Trinken"
"Säufer, Trunkenbold"	"kein_Trinken"
"Säuferwahn"	"kein_Trinken"
"Säuferwahnsinn"	"kein_Trinken"
"Saufgelüste"	"kein_Trinken"
"Saufperiode"	"kein_Trinken"
"Schankbetrieb, dessen Reingewinn den Klerikern zufloß"	"kein_Trinken"
"Schankrecht"	"kein_Trinken"
"Schankrecht für Spirituosen im Gasthaus"	"kein_Trinken"
"Schanktisch"	"kein_Trinken"
"Schanktisch im Gasthaus"	"kein_Trinken"
"Schankwirt, der das Wirtslokal nur gepachtet hat"	"kein_Trinken"
"Schankwirtschaft"	"kein_Trinken"
"Schankwirtschaft mit Getränkeausschank, nicht nur an anwesende Gäste"	"kein_Trinken"
"Schaum auf dem Bier"	"kein_Trinken"
"Schaumschicht auf dem Bier"	"kein_Trinken"
"Schild am Wirtshaus, oft mit symbolischer Darstellung des Namens"	"kein_Trinken"
"Schimpfwort für einen Trinker"	"kein_Trinken"
"schlechte Wirtschaft, verrufenes Haus"	"kein_Trinken"
"schlechtes Gasthaus"	"kein_Trinken"
"Schluck"	"kein_Trinken"
"Schluck, Zug"	"kein_Trinken"
"schluckweise"	"kein_Trinken"
"schmales Bierglas, 0, 4 l fassend"	"kein_Trinken"
"Schnaps brennen"	"kein_Trinken"
"Schnapsausschank"	"kein_Trinken"
"Schnapsfläschchen mit dickem Bauch"	"kein_Trinken"
"Schnapsflasche"	"kein_Trinken"
"Schnapsglas"	"kein_Trinken"
"Schnapsglas kleiner als 14 l"	"kein_Trinken"
"Schnapsladen"	"kein_Trinken"
"Schnapssäufer"	"kein_Trinken"
"Schnapstrinker"	"kein_Trinken"
"Schnapstrinker. Die Bewohner von Bettweiler Kr. Saargemünd heißen Schnapser."	"kein_Trinken"
"Schulden infolge übermäßigen Saufens"	"kein_Trinken"
"schwankend, bes. durch Trunkenheit"	"kein_Trinken"
"Schwätzwasser haben = betrunken, angetrunken sein"	"kein_Trinken"
"schwefeln, vom Wein"	"kein_Trinken"
"schwer betrunken"	"kein_Trinken"
"schwere Vergiftung durch übermäßigen Genuß von Branntwein"	"kein_Trinken"
"schwerer Rausch"	"kein_Trinken"
"Schwips, Rausch"	"kein_Trinken"
"sehr großer Schluck"	"kein_Trinken"
"Seihe, feines Sieb für Kaffee, Milch u. dgl"	"kein_Trinken"
"seine Sauftur haben"	"kein_Trinken"
"sich durch Alkohol tottrinken"	"kein_Trinken"
"sich durch Speise u. Trank laben"	"kein_Trinken"
"sich durch Speise und Trank laben"	"kein_Trinken"
"sich durch Speise und Trank laben, sich's wohl schmecken lassen, sich an einer Lieblingsspeise satt essen"	"kein_Trinken"
"sich durch übermäßigen Alkoholgenuß den Tod zuziehen"	"kein_Trinken"
"sich oft in Wirtshäusern aufhalten"	"kein_Trinken"
"sich schwankend fortbewegen, taumelnd gehen bes. von Betrunkenen"	"kein_Trinken"
"sich vertun, von etwas zuviel essen od. trinken"	"kein_Trinken"
"sinnlos (steif) betrunken"	"kein_Trinken"
"sinnlos betrunken"	"kein_Trinken"
"soviel auf einmal gepresst oder gekeltert wird"	"kein_Trinken"
"Speisekarte"	"kein_Trinken"
"Speisewirt"	"kein_Trinken"
"Speisezusatz mit Zitronengeschmack"	"kein_Trinken"
"Spelunke"	"kein_Trinken"
"Stammgast, der immer in der Wirtschaft zu finden"	"kein_Trinken"
"Stammlokal"	"kein_Trinken"
"Stammplatz im Wirtshaus"	"kein_Trinken"
"stark betrunken"	"kein_Trinken"
"starker Rausch"	"kein_Trinken"
"starker Trinker"	"kein_Trinken"
"Stern als Wirtshauszeichen"	"kein_Trinken"
