xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Definition_gesplittet	Konzept	Lemma_gemappt	Konzept_Lemma	Def_kurz_gemappt	Konzept_Def_kurz	Def_lang_gemappt	Def_lang_ungemappt	Konzept_Def_lang	Konzept_gemappt
EA00652	Amors	Amors	Substantiv	3.	schlechter Schnaps	['schlechter Schnaps']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose								
ET01334	durstig	durstig	Adjektiv		durstig	['durstig']	Durst			durstig	kein_Trinken				kein_Trinken
ET01335	dürsterig, dürsterlich	dürsterig, dürsterlich	Adjektiv		durstigmachend, durstbringend	['durstigmachend', 'durstbringend']	Durst								
LD01155	durschtisch	durschtisch	Adjektiv		durstig	['durstig']	Durst			durstig	kein_Trinken				kein_Trinken
PD05717	dursterig, dürsterig	dursterig, dürsterig	Adjektiv	x	durstig	['durstig']	Durst			durstig	kein_Trinken				kein_Trinken
PD05718	durstig, dürstig	durstig, dürstig	Adjektiv	-	durstig, dürstig	['durstig', 'dürstig']	Durst								
PL01019	lech	lech	Adjektiv	x3	durstig	['durstig']	Durst			durstig	kein_Trinken				kein_Trinken
PU00917	unter-irdisch	unterirdisch	Substantiv	2	der aus Kartoffeln hergestellte Schnaps	['der aus Kartoffeln hergestellte Schnaps']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose								
EF00900	Fusel	Fusel	Substantiv		geringer, schlechter Branntwein	['geringer', 'schlechter Branntwein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Fusel	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose						Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose; 
EF01024	Vitriol	Vitriol	Substantiv	2.	schlechter Branntwein	['schlechter Branntwein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose								
EG00225	Rattengift	Rattengift	Substantiv	1.	Schnaps	['Schnaps']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose			Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose				Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
EG00272	Giger	Giger	Substantiv	4.	schlechte Sorte Branntwein	['schlechte Sorte Branntwein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose								
EG00282	Giges, Gigs	Giges, Gigs	Substantiv		schlechter Branntwein, Fusel; schlechter Wein	['schlechter Branntwein', 'Fusel', 'schlechter Wein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein					Fusel	schlechter Branntwein; schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
EG00283	Burlegiges	Burlegiges	Substantiv	1.	schlechter, gewässerter Wein	['schlechter', 'gewässerter Wein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
EG01048	Geist	Geist	Substantiv	2.	Weingeist, Alkohol	['Weingeist', 'Alkohol']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose								
EG01127	Herrgöttel	Herrgöttel	Substantiv	2.	ein kleines Glas Bier, ein halber Schoppen, ein viertel Liter Wein	['ein kleines Glas Bier', 'ein halber Schoppen', 'ein viertel Liter Wein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
EH00174	huchen	huchen	Substantiv	2.	trinken, bes. übermässig	['trinken', 'bes. übermässig']	Trinken.Schnell_große_Mengen_trinken					trinken	bes. übermässig	Trinken	Trinken
EK00182	Kaffee, Kaffi	Kaffee, Kaffi	Substantiv	1.	Kaffee	['Kaffee']	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee				Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
EK00183	Schokelakaffee	Schokelakaffee	Substantiv		Milchschokolade mit Brot	['Milchschokolade mit Brot']	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kakao								
EK01109	Kirs(e), Kirsch	Kirse, Kirs, Kirsch	Substantiv	2.	Kirschbranntwein	['Kirschbranntwein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose			Kirschbranntwein	kein_Trinken				kein_Trinken
EK01744	Kläw(n)er, Kläfler	Kläwner, Kläwer, Kläfler	Substantiv	2.	Wein daraus	['Wein daraus']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
EK02026	Kräbel	Kräbel	Substantiv		Branntwein	['Branntwein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose			Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose				Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
EK02032	Krëbser 	Krëbser	Substantiv	1.	Schnaps	['Schnaps']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose			Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose				Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
EL00463	Vorlauf	Vorlauf	Substantiv	2.	der erste Branntwein, der beim Branntweinbrennen herauskommt; er wird nicht getrunken, sondern zur Herstellung einer geringeren Güte Schnaps oder zu Einreibungen verwandt	['der erste Branntwein, der beim Branntweinbrennen herauskommt', 'er wird nicht getrunken', 'sondern zur Herstellung einer geringeren Güte Schnaps oder zu Einreibungen verwandt']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose								
EL01179	Lur(e), Lür	Lure, Lur, Lür	Substantiv	4.	schlechte Brühe überhaupt, bes. Kaffee	['schlechte Brühe überhaupt', 'bes. Kaffee']	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee								
EL01179	Lur(e), Lür	Lure, Lur, Lür	Substantiv	3.	schlechter Schnaps	['schlechter Schnaps']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose								
EL01179	Lur(e), Lür	Lure, Lur, Lür	Substantiv	1.	leichter Wein, hergestellt durch Vermischen mit Wasser	['leichter Wein', 'hergestellt durch Vermischen mit Wasser']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
EL01179	Lur(e), Lür	Lure, Lur, Lür	Substantiv	2.	ein Getränk, im Herbst aus wilden Früchten und etwas Wein hergestellt	['ein Getränk', 'im Herbst aus wilden Früchten und etwas Wein hergestellt']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
EL01180	Lappenlur(e), Lappenlür	Lappenlure, Lappenlur, Lappenlür	Substantiv	1.	schwacher, saurer, matter, verwässerter Wein oder Kaffee	['schwacher', 'saurer', 'matter', 'verwässerter Wein oder Kaffee']	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein 								
EL01546	Lüterung	Lüterung	Substantiv	1.	Vorbranntwein	['Vorbranntwein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose			Vorbranntwein	kein_Trinken				kein_Trinken
EM00566	Milch	Milch	Substantiv		Milch	['Milch']	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk				Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
EM00567	Brieschmilch	Brieschmilch	Substantiv		die erste Milch der Kuh	['die erste Milch der Kuh']	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk								
EM00571	Geisenmilch	Geisenmilch	Substantiv	1.	Ziegenmilch	['Ziegenmilch']	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk			Ziegenmilch	kein_Trinken				kein_Trinken
EM00577	Surmilch	Surmilch	Substantiv		Sauermilch, Dickmilch, gestockte Milch; wird häufig abends mit Kartoffeln gegessen; auch zu Suppen verwendet	['Sauermilch', 'Dickmilch', 'gestockte Milch', 'wird häufig abends mit Kartoffeln gegessen', 'auch zu Suppen verwendet']	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk					Sauermilch	Dickmilch; gestockte Milch; wird häufig abends mit Kartoffeln gegessen; auch zu Suppen verwendet	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
EM00624	Molzer	Molzer	Substantiv	3.	Biersorte, die teils aus Lager-, teils aus Jungbier besteht	['Biersorte, die teils aus Lager-', 'teils aus Jungbier besteht']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier								
EM00634	Mëmm; Mëmm(e)le	Mëmm, Mëmmele, Mëmmle	Substantiv	1.	in der Kinderspr. jede trinkbare Flüssigkeit, besonders Milch; auch verdoppelt	['in der Kinderspr. jede trinkbare Flüssigkeit', 'besonders Milch', 'auch verdoppelt']	Getränk; Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk								
EM01217	Elfermëss	Elfermëss	Substantiv		übtr. Frühschoppen. In der guten, alten Zeit durften die Wirtshäuser am Sonntag Vormittag vor Schluss des Gottesdienstes um 11 Uhr keine Gäste aufnehmen; der Wirtshausgang um diese Zeit wurde dann scherzhaft E. genannt	['übtr. Frühschoppen. In der guten', 'alten Zeit durften die Wirtshäuser am Sonntag Vormittag vor Schluss des Gottesdienstes um 11 Uhr keine Gäste aufnehmen', 'der Wirtshausgang um diese Zeit wurde dann scherzhaft E. genannt']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk								
EM01478	Most II, Muschk	Most, Muschk	Substantiv	1.	süsser Apfelwein	['süsser Apfelwein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Most	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft						Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft; 
EM01478	Most II, Muschk	Most, Muschk	Substantiv	2.	süsser Traubenwein	['süsser Traubenwein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Most	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft						Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft; 
EM01516	Mët(er)	Mëter, Mët	Substantiv		Met	['Met']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk			Met	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk				Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk
EN00683	Näz	Näz	Substantiv	4.	schlechtes Getränk	['schlechtes Getränk']	Getränk								
EP00701	Totenbaümpolitur	Totenbaümpolitur	Substantiv	2.	schlechter Schnaps	['schlechter Schnaps']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose								
EP00808	belzen	belzen	Substantiv	4.	trinken, saufen	['trinken', 'saufen']	Trinken; Trinken.Alkohol_trinken					trinken; saufen		Trinken; Trinken.Alkohol_trinken	Trinken; Trinken.Alkohol_trinken
EP00812	us belzen	us belzen	Substantiv	3.	leer trinken	['leer trinken']	Trinken.Austrinken								
EP00881	Bemmeri	Bemmeri	Substantiv	2.	schlechter Wein	['schlechter Wein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
EP00974	Bumpes	Bumpes	Substantiv	2.	gepantschter Wein	['gepantschter Wein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
EP01449	Bupperi	Bupperi	Substantiv	4.	schlechter Wein	['schlechter Wein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
EP01634	Bier	Bier	Substantiv		Bier	['Bier']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier				Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier
EP01789	Bërliner 	Bërliner	Substantiv	2.	schlechter Schnaps, auch Bërliner Schnaps	['schlechter Schnaps', 'auch Bërliner Schnaps']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose								
EP02080	Position	Position	Substantiv	2.	ein gewöhnliches Trinkglas voll Schnaps	['ein gewöhnliches Trinkglas voll Schnaps']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose								
EP02310	Petrol	Petrol	Substantiv	2.	Fusel, gemeiner Schnaps	['Fusel', 'gemeiner Schnaps']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose					Fusel	gemeiner Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
EP02606	Rachenbutzer	Rachenbutzer	Substantiv	1.	saurer Wein, der vermöge seiner Weinsteinsäure den Schleim im Rachen gerinnen macht und ablöst	['saurer Wein, der vermöge seiner Weinsteinsäure den Schleim im Rachen gerinnen macht und ablöst']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
EP03252	Plämpel, Bämpel	Plämpel, Bämpel	Substantiv	2.	träger, langsamer Mensch; schlechtes Getränk, insbes. dünner schwappelnder Kaffee	['träger', 'langsamer Mensch', 'schlechtes Getränk', 'insbes. dünner schwappelnder Kaffee']	Getränk; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee								
EP03335	Plappri, Plappkli	Plappri, Plappkli	Substantiv	2.	schwaches Getränk, insb. von Wein und Kaffee gesagt	['schwaches Getränk', 'insb. von Wein und Kaffee gesagt']	Getränk; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein 								
EP03708	Brüej(e)	Brüeje, Brüej	Substantiv	1.	Brühe, Sauce; auch Seifenbrühe, frischgepresster Rebensaft	['Brühe', 'Sauce', 'auch Seifenbrühe', 'frischgepresster Rebensaft']	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft					Brühe	Sauce; auch Seifenbrühe; frischgepresster Rebensaft	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
EP03708	Brüej(e)	Brüeje, Brüej	Substantiv	2.	schlechte Suppe, schlechter Wein	['schlechte Suppe', 'schlechter Wein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
EP03711	Bankerottbrüej	Bankerottbrüej	Substantiv		schlechter Wein	['schlechter Wein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
EP03723	Leimenbrüej	Leimenbrüej	Substantiv		scherzhaft für den lehmfarbigen neuen Wein	['scherzhaft für den lehmfarbigen neuen Wein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
EP03724	Qutschelbrüej	Qutschelbrüej	Substantiv	2.	schlechter Kaffee	['schlechter Kaffee']	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee								
EP03727	Schnitzbrüej	Schnitzbrüej	Substantiv		schlechter Wein	['schlechter Wein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
EP03750	Brocken	Brocken	Substantiv	4.	Hunger, Durst	['Hunger', 'Durst']	Durst					Durst	Hunger	Durst	Durst
EP03894	Brand	Brand	Substantiv	8.	Durst	['Durst']	Durst	Brand	Durst	Durst	Durst				Durst
EP03930	Brenz	Brenz	Substantiv	1.	Schnaps, Fusel	['Schnaps', 'Fusel']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose					Schnaps; Fusel		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
EP04065	Briest, Briesch	Briest, Briesch	Substantiv	2.	Milch einer frischmelkenden Kuh	['Milch einer frischmelkenden Kuh']	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk								
EP04065	Briest, Briesch	Briest, Briesch	Substantiv	3.	gestockte junge Milch	['gestockte junge Milch']	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk								
ER00626	Rum I	Rum	Substantiv		Rum	['Rum']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose			Rum	kein_Trinken				kein_Trinken
ER00670	Rämpes	Rämpes	Substantiv	1.	geringer Schnaps; schlechter Wein	['geringer Schnaps', 'schlechter Wein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein 								
ER00917	Räppes, Räppis, Räps	Räppes, Räppis, Räps	Substantiv	1.	schlechter Wein; neuer Wein aus Trauben, die man vor der eigentlichen Weinlese holt	['schlechter Wein', 'neuer Wein aus Trauben, die man vor der eigentlichen Weinlese holt']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
ER01113	Rissmichum	Rissmichum	Substantiv		gemeiner Schnaps	['gemeiner Schnaps']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose								
ES00271	Seifel	Seifel	Substantiv	3.	minderwertiges Getränk, Bier oder Wein	['minderwertiges Getränk', 'Bier oder Wein']	Getränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein 								
ES00290	Suff	Suff	Substantiv	1.	Saufgelage	['Saufgelage']	Trinken.Alkohol_trinken			Saufgelage	kein_Trinken				kein_Trinken
ES00291	Sufens, Saufens	Sufens, Saufens	Substantiv	1.	Zecherei	['Zecherei']	Trinken.Alkohol_trinken			Zecherei	kein_Trinken				kein_Trinken
ES00292	Gsuff(s)	Gsuffs, Gsuff	Substantiv	2.	schlechtes Getränk	['schlechtes Getränk']	Getränk								
ES00292	Gsuff(s)	Gsuffs, Gsuff	Substantiv	1.	anhaltendes Trinken	['anhaltendes Trinken']	Trinken.Häufig_lange_trinken								
ES00301	Suferei	Suferei	Substantiv	2.	Trinkgelage	['Trinkgelage']	Trinken.Alkohol_trinken			Trinkgelage	kein_Trinken				kein_Trinken
ES00301	Suferei	Suferei	Substantiv	1.	Trinklust, Trinkerei	['Trinklust', 'Trinkerei']	Trinken.Alkohol_trinken								
ES00323	Saft	Saft	Substantiv		Saft	['Saft']	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	Saft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	Saft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft				Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft
ES00572	Katzenseckel	Katzenseckel	Substantiv	1.	Branntwein	['Branntwein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose			Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose				Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
ES01069	supperen	supperen	Substantiv	1.	beim Trinken ein schlürfendes Geräusch verursachen	['beim Trinken ein schlürfendes Geräusch verursachen']	Trinken.Geräuschvoll_trinken								
ES01193	Suser	Suser	Substantiv		gährender Most	['gährender Most']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
ES02036	Schoppen	Schoppen	Substantiv	2.	bes. ein Schoppen Bier	['bes. ein Schoppen Bier']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier								
ES02507	Kaffeeschlabber	Kaffeeschlabber	Substantiv		schlechter Kaffee	['schlechter Kaffee']	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee								
ES02514	Schlabberte, Schlabbete	Schlabberte, Schlabbete	Substantiv	2.	überh. schlechtes Getränke, kraftlose Brühe	['überh. schlechtes Getränke', 'kraftlose Brühe']	Getränk								
ES03133	Armschmalz	Armschmalz	Substantiv	2.	in der Arbeiterspr. Bezeichnung für alkoholhaltige Getränke	['in der Arbeiterspr. Bezeichnung für alkoholhaltige Getränke']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk								
ES03500	Schnaps, Schnips	Schnaps, Schnips	Substantiv	1.	Schnaps, Branntwein	['Schnaps', 'Branntwein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose			Schnaps; Branntwein		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
ES03505	Quëtschelschnaps, Quëtschenschnaps, Quetschenschnaps	Quëtschelschnaps, Quëtschenschnaps, Quetschenschnaps	Substantiv		Branntwein aus Zwetschen	['Branntwein aus Zwetschen']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose								
ES04513	Sprit	Sprit	Substantiv	2.	schlechter Schnaps	['schlechter Schnaps']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose								
ES04532	Spritzer, Spretzer	Spritzer, Spretzer	Substantiv	5.	kleine Menge Branntwein, die man in den schwarzen Kaffee giesst	['kleine Menge Branntwein, die man in den schwarzen Kaffee giesst']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose								
ES05370	Stöpferle	Stöpferle	Substantiv	1.	petschierter Flaschenwein	['petschierter Flaschenwein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
ET00024	Tee	Tee	Substantiv	2.	Aufguss von getrockneten Blättern oder Blüten heilkräftiger Pflanzen	['Aufguss von getrockneten Blättern oder Blüten heilkräftiger Pflanzen']	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee	Tee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee						Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee; 
ET00025	Brusttee	Brusttee	Substantiv	1.	Brusttee	['Brusttee']	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee			Brusttee	kein_Trinken				kein_Trinken
ET01331	Durst	Durst	Substantiv		Durst	['Durst']	Durst	Durst	Durst	Durst	Durst				Durst
ET01557	Düttle, Düttel	Düttle, Düttel	Substantiv	4.	Muttermilch	['Muttermilch']	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk			Muttermilch	kein_Trinken				kein_Trinken
ET01713	Traberen, Träberen	Traberen, Träberen	Substantiv	2.	Treberbranntwein	['Treberbranntwein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose			Treberbranntwein	kein_Trinken				kein_Trinken
ET01926	Teüfelsdrëck 	Teüfelsdrëck	Substantiv	2.	Schnaps	['Schnaps']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose			Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose				Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
ET02147	Trank	Trank	Substantiv		Trank	['Trank']	Getränk 	Trank	Getränk	Trank	Getränk				Getränk
ET02152	Säütränke	Säütränke	Substantiv	2.	schlechtes Getränk, z. B. schlechter Wein	['schlechtes Getränk', 'z. B. schlechter Wein']	Getränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
ET02160	Trinken	Trinken	Substantiv		Getränk	['Getränk']	Getränk 	Trinken	Getränk	Getränk	Getränk				Getränk
ET02165	Trunk	Trunk	Substantiv		Trunk	['Trunk']	Getränk 	Trunk	Getränk	Trunk	Getränk				Getränk
ET02166	Schlaftrunk	Schlaftrunk	Substantiv		urspr. Trunk, der dem Gaste dargereicht wurde, wenn er sich schon zu Bett begeben hatte; später Trinkgelage, das sich an die Abendmahlzeit anschloss.	['urspr. Trunk, der dem Gaste dargereicht wurde', 'wenn er sich schon zu Bett begeben hatte', 'später Trinkgelage, das sich an die Abendmahlzeit anschloss.']	Getränk; Trinken								
ET02252	Druesen, Drusen	Druesen, Drusen	Substantiv	2.	Branntwein aus Weinhefe gewonnen	['Branntwein aus Weinhefe gewonnen']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose								
EW00675	Äpfelwi(n)	Äpfelwin, Äpfelwi	Substantiv		Apfelwein	['Apfelwein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein			Apfelwein	kein_Trinken				kein_Trinken
EW00678	Birenwi(n)	Birenwin, Birenwi	Substantiv		Birnwein	['Birnwein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein			Birnwein	kein_Trinken				kein_Trinken
EW00679	Branntenwi(n), Brënntewi(n)	Branntenwin, Branntenwi, Brënntewin, Brënntewi	Substantiv		Branntwein, Schnaps	['Branntwein', 'Schnaps']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose					Branntwein; Schnaps		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
EW00682	Dreimännerwin	Dreimännerwin	Substantiv		Wein, der so sauer ist, dass drei Männer den Trinkenden festhalten müssen (sonst würde er  sich weigern, ihn zu nehmen)	['Wein, der so sauer ist', 'dass drei Männer den Trinkenden festhalten müssen (sonst würde er  sich weigern', 'ihn zu nehmen)']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
EW00685	Edelwin	Edelwin	Substantiv		feine Sorte Weisswein	['feine Sorte Weisswein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
EW00686	Ehrwein	Ehrwein	Substantiv		Ehrenwein	['Ehrenwein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein			Ehrenwein	kein_Trinken				kein_Trinken
EW00688	Gänswin	Gänswin	Substantiv		schlechter Wein	['schlechter Wein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
EW00690	Grumbirenbrënntewin	Grumbirenbrënntewin	Substantiv		Branntwein aus gegorenen Kartoffeln	['Branntwein aus gegorenen Kartoffeln']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose								
EW00706	Stichwin	Stichwin	Substantiv		der zur Probe aus dem Fass genommene Wein	['der zur Probe aus dem Fass genommene Wein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
