xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Definition_gesplittet	Konzept	Lemma_gemappt	Konzept_Lemma	Def_kurz_gemappt	Konzept_Def_kurz	Def_lang_gemappt	Def_lang_ungemappt	Konzept_Def_lang	Konzept_gemappt
PB07865	Butzicht-milch	Butzichtmilch	Substantiv	-	die erste dicke, unreine Milch der Kuh unmittelbar nach dem Kalben	['die erste dicke', 'unreine Milch der Kuh unmittelbar nach dem Kalben']	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk								
PD00309	Taglöhners-wein, Taglöhner-wein	Taglöhnerswein, Taglöhnerwein	Substantiv	-	Wein, den die im Taglohn Arbeitenden von den Weinbauern erhalten	['Wein, den die im Taglohn Arbeitenden von den Weinbauern erhalten']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PD00533	Tal-wein	Talwein	Substantiv	-	Wein aus niedrigen Lagen	['Wein aus niedrigen Lagen']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PD00571	Dämmer-schoppen	Dämmerschoppen	Substantiv	-	kleiner Abendtrunk	['kleiner Abendtrunk']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk								
PD01407	Tausendgüldenkraut-tee	Tausendgüldenkrauttee	Substantiv	-	Tee aus Tausendguldenkraut	['Tee aus Tausendguldenkraut']	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee								
PD01569	Tee	Tee	Substantiv	1	die getrockneten Blätter des Teestrauches und das daraus bereitete Getränk	['die getrockneten Blätter des Teestrauches und das daraus bereitete Getränk']	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee	Tee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee						Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee; 
PD01569	Tee	Tee	Substantiv	2	Kräutertee	['Kräutertee']	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee	Tee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee	Kräutertee	kein_Trinken				Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee; kein_Trinken
PD02004	Teufels-gesöff, Teufel-gesöff	Teufelsgesöff, Teufelgesöff	Substantiv	-	Schnaps	['Schnaps']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose			Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose				Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
PD02202	Dick-milch	Dickmilch	Substantiv	1	Dickmilch	['Dickmilch']	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk			Dickmilch	kein_Trinken				kein_Trinken
PD02573	Tisch-wein	Tischwein	Substantiv	-	Wein, der zum Essen getrunken wird, Wein von geringerer Qualität	['Wein, der zum Essen getrunken wird', 'Wein von geringerer Qualität']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PD02627	Dividenden-brühe	Dividendenbrühe	Substantiv	-	Bier	['Bier']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier			Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier				Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier
PD02628	Dividenden-wasser	Dividendenwasser	Substantiv	-	Bier	['Bier']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier			Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier				Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier
PD02922	Doppel-bier	Doppelbier	Substantiv	-	Starkbier	['Starkbier']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier			Starkbier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier				Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier
PD02923	Doppel-bock	Doppelbock	Substantiv	-	besonders starkes Bier	['besonders starkes Bier']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier								
PD02947	Doppel-kümmel	Doppelkümmel	Substantiv	-	doppelt abgezogener Kümmelbranntwein	['doppelt abgezogener Kümmelbranntwein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose								
PD03425	Drachen-töter	Drachentöter	Substantiv	-	schlechter Wein	['schlechter Wein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PD03596	Trank	Trank	Substantiv	1	Getränk	['Getränk']	Getränk	Trank	Getränk	Getränk	Getränk				Getränk
PD03746	Trauben-most	Traubenmost	Substantiv	-	Traubenmost	['Traubenmost']	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	Traubenmost	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	Traubenmost	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft				Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft
PD03753	Trauben-puff	Traubenpuff	Substantiv	-	Wein minderer Güte	['Wein minderer Güte']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PD03764	Trauben-wein	Traubenwein	Substantiv	-	Wein aus Traubenbeeren	['Wein aus Traubenbeeren']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PD03870	Treber-most	Trebermost	Substantiv		Nachwein aus Traubentrestern	['Nachwein aus Traubentrestern']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PD03871	Treber-wein	Treberwein	Substantiv		aus Traubenrückständen unter Zusatz von Zucker und Wasser hergestellter Wein	['aus Traubenrückständen unter Zusatz von Zucker und Wasser hergestellter Wein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
