xml:id	Lemma	Wortart	Level	Definition	Konzept
EP02376	Butik		3.	kleine, unsaubere Wirtschaft	kein_Trinken
EP02415	Harbütel	m.	2.	übtr. Rausch	kein_Trinken
EP02699	Bettpfann(e)	f.	1.	Bettflasche	kein_Trinken
EP02814	pfutlen		1.	quallern, mit Geräusch hervordringen (wie Wasser aus einer Flasche	kein_Trinken
EP03894	Brand		7.	Rausch. Rda	kein_Trinken
EP03930	Brenz		2.	Rausch	kein_Trinken
EQ00056	Quast	f.	2.	Rausch	kein_Trinken
ER00383	regalieren		1.	trans. bewirten, die Zeche bezahlen	kein_Trinken
ER00670	Rämpes		2.	leichter Rausch	kein_Trinken
ES00043	Sabel		3.	Rausch	kein_Trinken
ES00046	Schleifsabel	m.	2.	übtr. Rausch	kein_Trinken
ES00047	Schleppsabel	m.	2.	übtr. Rausch	kein_Trinken
ES00139	versuechen		3.	kosten	kein_Trinken
ES00283	besoffen		1.	betrunken	kein_Trinken
ES00288	versoffen	Adj.	3.	den Trinker kennzeichnend	kein_Trinken
ES00291	Sufens		1.	Zecherei	kein_Trinken
ES00301	Suferei	f.	2.	Trinkgelage	kein_Trinken
ES00485	Dudelsack	m.	5.	Betrunkener	kein_Trinken
ES00529	Schnappsack	m.	3.	Innere Tasche in Rock oder Weste, wohin man Gegenstände steckt, die man nicht gern verlieren will, u. a. auch die Schnapsflasche	kein_Trinken
ES00572	Katzenseckel	m.	2.	Trunkenbold	kein_Trinken
ES00668	sëlig,		1.	glücklich, bes. im Rausch allg	kein_Trinken
ES00987	ummesunst	Adv.	2.	ohne Kosten, geschenkweise	kein_Trinken
ES01268	Ansatz	m.	1.	Kostenanschlag	kein_Trinken
ES01797	scholleren		4.	beim Billard- und Kegelspiel einen gewissen Betrag vom Einsatz vorwegnehmen (vom Wirt	kein_Trinken
ES01823	Schild		1.	Schild am Wirtshaus. Rda	kein_Trinken
ES02186	Schërben,		3.	Milchtopf von 1 Lit. Inhalt	kein_Trinken
ES02246	Schassör	m.	3.	du hast einen Affen, bist betrunken	kein_Trinken
ES02536	Winschluch	m.	2.	Säufer	kein_Trinken
ES02601	schlifen		5.	leicht angetrunken sein	kein_Trinken
ES02687	Schlegel	m.	5.	grosse, hohe Flasche; Demin. kleines Hohlmass für Hülsenbohnen	kein_Trinken
ES02725	Schluck		1.	Schluck, Zug	kein_Trinken
ES02739	Geschlamassel(s)	n.	6.	die Zeche	kein_Trinken
ES03038	(schmachen		1.	verschmachten	kein_Trinken
ES03158	Schmier(e)		5.	Zeche	kein_Trinken
ES03352	Schnufer	m.	1.	Atemzug	kein_Trinken
ES03420	an schnallen		2.	aufbürden, eine Lüge oder auch die Zeche im Wirtshaus	kein_Trinken
ES03448	Schnapper	m.	1.	Atemzug	kein_Trinken
ES03849	geschwullen		3.	betrunken	kein_Trinken
ES03916	Schwank		2.	ein Zug mit der Sense	kein_Trinken
ES04354	Spitz,		8.	Rausch	kein_Trinken
ES04378	spützen,		5.	unpers. schwer halten, Mühe kosten	kein_Trinken
ES04428	gesprickelt	Adj.	2.	leicht angetrunken und darum nicht recht bei Sinnen	kein_Trinken
ES04430	gespricklig	Adj.	2.	verklärt, vom Gesicht nach einem besseren Rausch	kein_Trinken
ES04526	gespritzt		2.	ein wenig betrunken, halb verrückt	kein_Trinken
ES04532	Spritzer	m.	4.	leichter Rausch allg	kein_Trinken
ES04586	Staub		3.	Rausch	kein_Trinken
ES04600	Stäüber	m.	3.	leichter Rausch	kein_Trinken
ES04639	Stüber		1.	kleiner Rausch	kein_Trinken
ES04667	Stich		5.	leichter Rausch	kein_Trinken
ES04757	Stëfzen		5.	Rausch	kein_Trinken
ES04830	uf stecken		4.	um das Trinkgeld spielen, von den Musikanten bei Festen. Zu einer bestimmten Stunde verlassen Musiker und die Tanzenden, letztere paarweise, das Tanzlokal und begeben sich in die Wirtschaftsräume, woselbst von den Musikern	kein_Trinken
ES05133	Stümple		3.	Rausch	kein_Trinken
ES05345	Stipper		4.	Rausch	kein_Trinken
ES05402	Stipser	m.	2.	Rausch	kein_Trinken
ES05412	stierig	Adj.	5.	betrunken	kein_Trinken
ES05458	Sturm		2.	Rausch	kein_Trinken
ES05640	Strubel	m.	11.	Rausch	kein_Trinken
ES05713	strack		4.	sinnlos (steif) betrunken	kein_Trinken
ET00077	täübelen		4.	in der Betrunkenheit dumme Faxen machen	kein_Trinken
ET00137	Dächle		3.	Rausch	kein_Trinken
ET00223	betuech(t)	Adj.	2.	betrunken, und in diesem Zustande dann reich, zufrieden	kein_Trinken
ET00269	Dudel		3.	Rausch	kein_Trinken
ET00282	Dudi		1.	m. Rausch	kein_Trinken
ET00756	Dampf		2.	Rausch allg	kein_Trinken
ET00942	Tante	f.	3.	Hurenwirtin	kein_Trinken
ET01264	Turlitam		5.	Rausch	kein_Trinken
ET01281	Türmel	m.	3.	Rausch	kein_Trinken
ET01396	Dusel		2.	Rausch	kein_Trinken
ET01401	duselig	Adj.	3.	leicht betrunken	kein_Trinken
ET01548	Dutt		2.	Rausch	kein_Trinken
ET01844	uf tragen		1.	auftischen	kein_Trinken
ET01862	Traget(e)	f.	3.	Rausch	kein_Trinken
EW00497	Wëll(e)		3.	Rausch	kein_Trinken
EW00919	wërden,		5.	beim Kartenspiel die Zeche oder einen Teil derselben verlieren	kein_Trinken
EW00952	würflen		2.	sich erbrechen, besonders infolge von Trunkenheit	kein_Trinken
EZ00107	Zug		6.	Zugluft	kein_Trinken
EZ00429	Zapfen		1.	Zapfen am Fass, der Flasche, am Gebälk	kein_Trinken
EZ00429	Zapfen		4.	Trinker	kein_Trinken
EZ00429	Zapfen		5.	Rausch	kein_Trinken
EZ00456	Zäpfer	m.	1.	Trinker	kein_Trinken
EZ00475	Zopf		5.	Rausch	kein_Trinken
EZ00494	verzehren		2.	in einem Wirtshaus ausgeben (nicht bloss für Nahrung), konsumieren	kein_Trinken
EZ00613	Zottel		3.	Hals einer Flasche; Ansatzstück einer Giesskanne	kein_Trinken
