xml:id	Lemma	Wortart	Level	Definition	Konzept
ER01214	rüschlen		1.	leise rauschen, vom langsam fliessenden Wasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ER01508	Ratzer	m.	2.	saurer Geschmack beim Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
ES00011	Mästsöu	f.	1.	Mastschwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
ES00014	Wildsoü		1.	Wildschwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
ES00021	versoüen		2.	verschütten, vom Wasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ES00155	Schepfensëchziger		1.	Brunnenwasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ES00155	Schepfensëchziger		2.	Wasser mit Wein zu 60 centimes bezw. Pfg. vermengt	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ES00240	Sud	m.	3.	Moment wo das Wasser siedet	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ES00271	Seifel		3.	minderwertiges Getränk, Bier oder Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier
ES00272	seiflen		5.	geräuschvoll und anhaltend trinken	Trinken
ES00280	sufen		1.	saufen, vom Vieh	Trinken.Alkohol_trinken
ES00280	sufen		2.	grob von Menschen gesagt, trinken	Trinken
ES00281	ab sufen		1.	refl. durch übermässiges Trinken seine Gesundheit untergraben	Trinken
ES00283	besoffen		1.	betrunken	Getränk
ES00287	versufen		2.	durch Trinken verprassen	Trinken
ES00288	versoffen	Adj.	1.	ertrunken	Getränk
ES00291	Sufens		1.	Zecherei	Trinken.Alkohol_trinken
ES00292	Gesuff(s)	n.	1.	anhaltendes Trinken	Trinken
ES00292	Gesuff(s)	n.	2.	schlechtes Getränk	Getränk
ES00301	Suferei	f.	2.	Trinkgelage	Trinken.Alkohol_trinken
ES00306	süfflen,		1.	trinken, mehr scherzhaft gesagt	Trinken
ES00331	(ge)saftig,	Adj.	1.	saftig	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft
ES00485	Dudelsack	m.	5.	Betrunkener	Getränk
ES00572	Katzenseckel	m.	1.	Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
ES00572	Katzenseckel	m.	2.	Trunkenbold	Getränk
ES00803	Versammlung	f.	3.	Ansammlung, Erguss von Blut, Eiter, Wasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ES01020	Brutsupp(e)	f.	1.	Wein, Brot, Glühwein und Kugelhopf, welche am Hochzeitstage vor der Trauung im Hause der Braut gereicht werden	Getränk.Kaltgetränk.Alkoholhaltiges_Heißgetränk
ES01037	Kuttelsupp(e)	f.	1.	Wurstsuppe, das Wasser, worin hausgemachte Blutwürste	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ES01041	Milchsupp(e)	f.	1.	Suppe aus Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
ES01043	Muttersupp(e)	f.	2.	Brummbär	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
ES01069	supperen		1.	beim Trinken ein schlürfendes Geräusch verursachen	Trinken
ES01101	surren		4.	mit Geräusch, schnell laufen oder fallen (z. B. vom Wasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ES01152	surpfen		2.	mit Geräusch trinken oder vom Löffel schmatzen	Trinken
ES01252	sutteren I		1.	wallen, langsam kochen, von Wasser und Brühen	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ES01252	sutteren I		2.	von Gänsen und Enten, mit dem Schnabel im Wasser und Schlamm nach Nahrung suchen	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ES01280	an setzen		4.	anstellen, Schnaps, Essig u. dergl	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
ES01407	Schächer		2.	Judenmetzger	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
ES01487	scheiden		2.	gerinnen, von der Milch, wobei sich Käsestoff und Milchwasser trennen	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
ES01515	schaffen		5.	vom grünen Holz, der Rebe, im Saft steigen	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft
ES01515	schaffen		6.	in die Höhe steigen, gähren, vom Wein. Syn	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
ES01766	schël		4.	hellrot gefärbt, vom Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
ES01770	schiel	Adj.	2.	hellrot, vom Wein; frz	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
ES01793	Schollen		2.	Klumpen, von geronnener Milch, vom Blut	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
ES01924	scheneros	Adj.	2.	zurückhaltend im Essen und Trinken	Trinken
ES02036	Schoppen		2.	bes. ein Schoppen Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier
ES02060	schepfen		1.	schöpfen, Wasser mit einem Eimer	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ES02073	Schupf		2.	Schupf Wasser, so viel durch einen Schupf, durch einmalige Bewegung des Brunnenschwengels heraufbefördert wird	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ES02175	schuren II		2.	nach einer Hochzeit bei den Eingeladenen von Haus zu Haus gehen und zechen: die Männer trinken Wein, die Frauen Kaffee Andolsh. u. Umg	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
ES02278	Bettschisser	m.	3.	zottige, schwarze Rotwein-Traube	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
ES02483	Vorschutz	m.	3.	Das erste bei der Herstellung von Schnaps oder Brot	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
ES02514	Schlabberte	f.	2.	überh. schlechtes Getränke, kraftlose Brühe	Getränk
ES02534	Schlicherle	n.	1.	kleiner, dünner Stein zum Werfen übers Wasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ES02583	schleifen,		5.	trinken	Trinken
ES02586	herum schleifen		1.	herumzerren	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
ES02586	herum schleifen		2.	herumtragen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
ES02654	herum schlagen		1.	herumprügeln	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
ES02764	Schlamper	m.	2.	grosse, blaue Traubenart, die selten reif wird. Der Wein erhält durch sie eine gefällige Farbe	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
ES02767	schlamperen		2.	die Tränke saufen, vom Vieh; verächtlich auch vom Menschen	Trinken.Alkohol_trinken
ES02814	Schlënker	m.	4.	die Haut auf gekochter und wieder erkalteter Milch oder Suppe	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
ES02985	schleiter		3.	seicht, nicht tief, vom Pflügen u. vom Wasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ES03013	schletzen		2.	gierig, essen oder trinken	Trinken
ES03030	schlutzen,		2.	schlürfen, mit Wohlbehagen trinken	Trinken
ES03105	schmicken		2.	mit fliegender Angel fischen. Der Köder wird ganz leicht auf das Wasser fallen gelassen und nach kurzer Zeit wieder gehoben	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ES03132	Affenschmalz		1.	Wasser zum Haarglätten	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ES03133	Armschmalz	n.	2.	in der Arbeiterspr. Bezeichnung für alkoholhaltige Getränke	Getränk
ES03172	schmieren		3.	den Wein verfälschen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
ES03354	Schnüffele	n.	1.	Schweinsrüssel	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
ES03390	herum schneiken		1.	herumsuchen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
ES03500	Schnaps,		1.	Schnaps, Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
ES03508	schnäpslen		1.	Schnäpschen trinken	Trinken
ES03508	schnäpslen		2.	intr. nach Schnaps riechen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
ES03524	schnurren		1.	schnurren, sausen, von Maschinen, vom Wasser usw	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
