xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Definition_gesplittet	Konzept	Lemma_gemappt	Konzept_Lemma	Def_kurz_gemappt	Konzept_Def_kurz	Def_lang_gemappt	Def_lang_ungemappt	Konzept_Def_lang	Satzwurzel	Konzept_Satzwurzel	Konzept_gemappt
PB05930	Breme	Breme	Substantiv	1.2b	betrunken sein	['betrunken sein']	kein_Trinken										kein_Trinken
PB05972	brennen	brennen	Verb	II4d	Schnaps brennen	['Schnaps brennen']	kein_Trinken										kein_Trinken
PB06435	Brot-turmel	Brotturmel	Substantiv	1b	Trunkenheit	['Trunkenheit']	kein_Trinken			Trunkenheit	kein_Trinken						kein_Trinken
PB06562	Brühe	Brühe	Substantiv	4	Rausch	['Rausch']	kein_Trinken	Brühe	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Rausch	kein_Trinken						Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
PB06638	Brumm-kater	Brummkater	Substantiv	-	Katzenjammer mit vor Schmerzen brummendem Kopf	['Katzenjammer mit vor Schmerzen brummendem Kopf']	kein_Trinken										kein_Trinken
PB07106	Büffet-mamsell	Büffetmamsell	Substantiv	-	Büffetdame im Restaurant	['Büffetdame im Restaurant']	kein_Trinken										kein_Trinken
PB07244	Bummer	Bummer	Substantiv	4a	Schnapsfläschchen mit dickem Bauch	['Schnapsfläschchen mit dickem Bauch']	kein_Trinken										kein_Trinken
PB07291	Bums	Bums	Substantiv	1	Kneipe	['Kneipe']	kein_Trinken			Kneipe	kein_Trinken						kein_Trinken
PB07292	Bums	Bums	Substantiv	2	Bezeichnung für eine Gastwirtschaft in Land (um 1920)	['Bezeichnung für eine Gastwirtschaft in Land (um 1920)']	kein_Trinken										kein_Trinken
PB07392	Bürde	Bürde	Substantiv	2a	betrunken sein	['betrunken sein']	kein_Trinken										kein_Trinken
PB07506	Bürste	Bürste	Substantiv	4	Gastwirtschaft, deren Schild eine Bürste zeigte	['Gastwirtschaft, deren Schild eine Bürste zeigte']	kein_Trinken										kein_Trinken
PB07518	Bürsten-wirt	Bürstenwirt	Substantiv	-	"Inhaber der Gastwirtschaft ""Zur Bürste"""	"['Inhaber der Gastwirtschaft ""Zur Bürste""']"	kein_Trinken										kein_Trinken
PB07543	Busch, Pusch, Buschen, Puschen	Busch, Pusch, Buschen, Puschen	Substantiv	4	Alkoholrausch	['Alkoholrausch']	kein_Trinken			Alkoholrausch	kein_Trinken						kein_Trinken
PB07569	Buschon	Buschon	Substantiv	2	ungeschlachter, oft betrunkener Mensch	['ungeschlachter', 'oft betrunkener Mensch']	kein_Trinken										kein_Trinken
PB07638	Butik	Butik	Substantiv	3a	Gastwirtschaft für bescheidene Ansprüche, Kneipe	['Gastwirtschaft für bescheidene Ansprüche', 'Kneipe']	kein_Trinken										kein_Trinken
PD00009	Tabak	Tabak	Substantiv	4d	betrunken sein	['betrunken sein']	kein_Trinken										kein_Trinken
PD00214	Dackel	Dackel	Substantiv	2b	Rausch	['Rausch']	kein_Trinken			Rausch	kein_Trinken						kein_Trinken
PD00444	dahin-wanken	dahinwanken	Verb	-	wankend gehen (von Betrunkenen)	['wankend gehen (von Betrunkenen)']	kein_Trinken										kein_Trinken
PD00582	Dampes	Dampes	Substantiv	1	Rausch	['Rausch']	kein_Trinken			Rausch	kein_Trinken						kein_Trinken
PD00583	Dampf	Dampf	Substantiv	6	Rausch	['Rausch']	kein_Trinken			Rausch	kein_Trinken						kein_Trinken
PD00677	Tannen-strauß, Tann-strauß	Tannenstrauß, Tannstrauß	Substantiv	-	Tannenzweig als Gaststättenkennzeichen der Straußwirtschaften	['Tannenzweig als Gaststättenkennzeichen der Straußwirtschaften']	kein_Trinken										kein_Trinken
PD00848	daran-gehen	darangehen	Verb	2b	vom Hang zum Alkohol	['vom Hang zum Alkohol']	kein_Trinken										kein_Trinken
PD00906	Darauf-geld	Daraufgeld	Substantiv	3	Trinkgeld	['Trinkgeld']	kein_Trinken			Trinkgeld	kein_Trinken						kein_Trinken
PD00939	darauf-machen	daraufmachen	Verb	2a	vom ausgiebigen Alkoholgenuß	['vom ausgiebigen Alkoholgenuß']	kein_Trinken										kein_Trinken
PD00963	darauf-setzen	daraufsetzen	Verb	2b	vom Alkoholgenuß	['vom Alkoholgenuß']	kein_Trinken										kein_Trinken
PD01305	Dauer-brand	Dauerbrand	Substantiv	2	Säufer	['Säufer']	kein_Trinken			Säufer	kein_Trinken						kein_Trinken
PD01371	Daumen	Daumen	Substantiv		Gasthausbezeichnung	['Gasthausbezeichnung']	kein_Trinken			Gasthausbezeichnung	kein_Trinken						kein_Trinken
PD01673	teigig	teigig	Adjektiv	4c	betrunken	['betrunken']	kein_Trinken			betrunken	kein_Trinken						kein_Trinken
PD01740	Delirium	Delirium	Substantiv	-	Säuferwahnsinn	['Säuferwahnsinn']	kein_Trinken			Säuferwahnsinn	kein_Trinken						kein_Trinken
PD02335	dienen	dienen	Verb	5	bei Tisch aufwarten	['bei Tisch aufwarten']	kein_Trinken										kein_Trinken
PD02541	Tisch	Tisch	Substantiv	2	Tisch im Gasthaus, Stamtisch, auch runder Tisch	['Tisch im Gasthaus', 'Stamtisch', 'auch runder Tisch']	kein_Trinken										kein_Trinken
PD03065	Dorf-schenke	Dorfschenke	Substantiv	-	Dorfwirtshaus	['Dorfwirtshaus']	kein_Trinken			Dorfwirtshaus	kein_Trinken						kein_Trinken
PD03093	Dorf-wirtschaft	Dorfwirtschaft	Substantiv	-	Dorfwirtshaus	['Dorfwirtshaus']	kein_Trinken			Dorfwirtshaus	kein_Trinken						kein_Trinken
PD03094	Dorf-wirtshaus	Dorfwirtshaus	Substantiv	-	Dorfwirtshaus	['Dorfwirtshaus']	kein_Trinken			Dorfwirtshaus	kein_Trinken						kein_Trinken
PD03109	Torkeler	Torkeler	Substantiv	1	wer schwankend, taumelig geht, bes. in Trunkenheit	['wer schwankend', 'taumelig geht', 'bes. in Trunkenheit']	kein_Trinken										kein_Trinken
PD03110	torkelig	torkelig	Adjektiv	-	schwankend, bes. durch Trunkenheit	['schwankend', 'bes. durch Trunkenheit']	kein_Trinken										kein_Trinken
PD03115	Dorn, Dornen	Dorn, Dornen	Substantiv	1.2e	Rausch	['Rausch']	kein_Trinken			Rausch	kein_Trinken						kein_Trinken
PD03321	tot-pitschen	totpitschen	Verb	-	sich (durch Alkohol) tottrinken	['sich (durch Alkohol) tottrinken']	kein_Trinken										kein_Trinken
PD03327	tot-saufen	totsaufen	Verb	1	sich durch übermäßigen Alkoholgenuß den Tod zuziehen	['sich durch übermäßigen Alkoholgenuß den Tod zuziehen']	kein_Trinken										kein_Trinken
PD03331	tot-schaskenen	totschaskenen	Verb	-	totsaufen	['totsaufen']	kein_Trinken			totsaufen	kein_Trinken						kein_Trinken
PD03378	tot-trinken	tottrinken	Verb	-	totsaufen	['totsaufen']	kein_Trinken			totsaufen	kein_Trinken						kein_Trinken
PD03426	Tracht	Tracht	Substantiv	3d	Alkoholmenge, die zur Trunkenheit führt	['Alkoholmenge, die zur Trunkenheit führt']	kein_Trinken										kein_Trinken
PD03461	Traget, Tragets	Traget, Tragets	Substantiv	1.2b	große Menge getrunkenen Alkohols	['große Menge getrunkenen Alkohols']	kein_Trinken										kein_Trinken
PD03538	Traktier	Traktier	Substantiv	x	kleine Speisegaststätte	['kleine Speisegaststätte']	kein_Trinken										kein_Trinken
PD03547	Tralla	Tralla	Substantiv	-	Delirium	['Delirium']	kein_Trinken			Delirium	kein_Trinken						kein_Trinken
PD03558	Traminer-gesicht	Traminergesicht	Substantiv	-	vom Weingenuß gerötetes Gesicht	['vom Weingenuß gerötetes Gesicht']	kein_Trinken										kein_Trinken
PD03900	Dreck-butik	Dreckbutik	Substantiv	-	unsaubere Gastwirtschaft	['unsaubere Gastwirtschaft']	kein_Trinken										kein_Trinken
PD04036	Dreck-wirtschaft	Dreckwirtschaft	Substantiv	-	unsaubere Gastwirtschaft	['unsaubere Gastwirtschaft']	kein_Trinken										kein_Trinken
PD04129	drei-drähtig	dreidrähtig	Adjektiv	2	von sehr starkem Bohnenkaffee	['von sehr starkem Bohnenkaffee']	kein_Trinken								Bohnenkaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
PD04166	Drei-läufer	Dreiläufer	Substantiv	2	kleiner Rausch, Dreiviertelrausch	['kleiner Rausch', 'Dreiviertelrausch']	kein_Trinken										kein_Trinken
PD04224	Tremens	Tremens	Substantiv	-	Alkoholrausch	['Alkoholrausch']	kein_Trinken			Alkoholrausch	kein_Trinken						kein_Trinken
PD04225	Tremens-delirium	Tremensdelirium	Substantiv	-	Säuferwahn	['Säuferwahn']	kein_Trinken			Säuferwahn	kein_Trinken						kein_Trinken
PD04437	Trinker	Trinker	Substantiv	-	Trinker	['Trinker']	kein_Trinken			Trinker	kein_Trinken						kein_Trinken
PD04438	trink-fest	trinkfest	Adjektiv	-	trinkfest	['trinkfest']	kein_Trinken			trinkfest	kein_Trinken						kein_Trinken
PD04444	Trink-stube	Trinkstube	Substantiv	1	Lokal, in dem man Getränke zu sich nimmt	['Lokal', 'in dem man Getränke zu sich nimmt']	kein_Trinken								nehmen	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken
PD04444	Trink-stube	Trinkstube	Substantiv	2	Stube neben dem Tanzsaal, in der getrunken wird	['Stube neben dem Tanzsaal', 'in der getrunken wird']	kein_Trinken								trinken	Trinken	Trinken
PD04447	Trink-zimmer	Trinkzimmer	Substantiv	-	Stube neben dem Tanzsaal, in der getrunken wird	['Stube neben dem Tanzsaal', 'in der getrunken wird']	kein_Trinken								trinken	Trinken	Trinken
PD04612	Tropfs-blech	Tropfsblech	Substantiv	-	kleine Brenke, in die das Tropfbier vom Hahn hineintropft	['kleine Brenke', 'in die das Tropfbier vom Hahn hineintropft']	kein_Trinken										kein_Trinken
PD04744	Trudel	Trudel	Substantiv	3.1a	Bodensatz einer Flüssigkeit, bes. des Kaffees, des Weins	['Bodensatz einer Flüssigkeit', 'bes. des Kaffees', 'des Weins']	kein_Trinken								Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PD04804	Trunk	Trunk	Substantiv	3	Trunksucht	['Trunksucht']	kein_Trinken	Trunk	Getränk	Trunksucht	kein_Trinken						Getränk
PD04805	trunken	trunken	Adjektiv	1a	betrunken	['betrunken']	kein_Trinken			betrunken	kein_Trinken						kein_Trinken
PD04807	Trunken-bold	Trunkenbold	Substantiv	-	Trunkenbold	['Trunkenbold']	kein_Trinken			Trunkenbold	kein_Trinken						kein_Trinken
PD04808	Trunk-walter	Trunkwalter	Substantiv	x	Trunkenbold	['Trunkenbold']	kein_Trinken			Trunkenbold	kein_Trinken						kein_Trinken
PD04986	Duft	Duft	Substantiv	2	Alkoholrausch	['Alkoholrausch']	kein_Trinken			Alkoholrausch	kein_Trinken						kein_Trinken
PD05046	Tummel	Tummel	Substantiv		Rausch	['Rausch']	kein_Trinken			Rausch	kein_Trinken						kein_Trinken
PD05049	Tümmeler	Tümmeler	Substantiv	-	Rausch	['Rausch']	kein_Trinken			Rausch	kein_Trinken						kein_Trinken
PD05184	Dunst	Dunst	Substantiv	1.1b'b	Atem, der nach Alkohol riecht	['Atem, der nach Alkohol riecht']	kein_Trinken										kein_Trinken
PD05219	Tüpfen	Tüpfen	Substantiv	2	Gefäß zum Trinken	['Gefäß zum Trinken']	kein_Trinken										kein_Trinken
PD05252	Düppes	Düppes	Substantiv	-	kleiner Rausch	['kleiner Rausch']	kein_Trinken										kein_Trinken
PD05256	Tur	Tur	Substantiv	3a	Saufperiode	['Saufperiode']	kein_Trinken			Saufperiode	kein_Trinken						kein_Trinken
PD05559	turen	turen	Verb	-	seine Sauftur haben	['seine Sauftur haben']	kein_Trinken										kein_Trinken
PD05572	Turen-süffer	Turensüffer	Substantiv	-	wer zeitweise dem Trunk ergeben ist, Quartalssäufer	['wer zeitweise dem Trunk ergeben ist', 'Quartalssäufer']	kein_Trinken										kein_Trinken
PD05715	Durstel	Durstel	Substantiv	-	Trinker	['Trinker']	kein_Trinken			Trinker	kein_Trinken						kein_Trinken
PD05747	Dusel	Dusel	Substantiv	1c	leichter Alkoholrausch	['leichter Alkoholrausch']	kein_Trinken										kein_Trinken
PE00291	eichen	eichen	Verb	2.2a	feststellen, wieviel einer auf einen Sitz trinken kann	['feststellen', 'wieviel einer auf einen Sitz trinken kann']	kein_Trinken								trinken	Trinken	Trinken
PE00566	ein-flößen	einflößen	Verb	-	einflößen	['einflößen']	kein_Trinken			einflößen	kein_Trinken						kein_Trinken
PE00602	ein-gießen	eingießen	Verb	-	das Glas füllen	['das Glas füllen']	kein_Trinken										kein_Trinken
PE00653	Ein-kehr	Einkehr	Substantiv	-	Rast im Gasthaus	['Rast im Gasthaus']	kein_Trinken										kein_Trinken
PE00654	ein-kehren	einkehren	Verb	-	auf der Reise (auf einem Ausflug) in ein Gasthaus gehen, jemand kurz besuchen	['auf der Reise (auf einem Ausflug) in ein Gasthaus gehen', 'jemand kurz besuchen']	kein_Trinken										kein_Trinken
PE00837	Ein-schenke	Einschenke	Substantiv	-	Schanktisch im Gasthaus	['Schanktisch im Gasthaus']	kein_Trinken										kein_Trinken
PE00838	ein-schenken	einschenken	Verb	1	Getränke eingießen; das Glas gut (schlecht) füllen	['Getränke eingießen', 'das Glas gut (schlecht) füllen']	kein_Trinken										kein_Trinken
PE00896	ein-seifen	einseifen	Verb	2b	zu übermäßigem Alkoholgenuß verleiten, vorsätzlich betrunken machen	['zu übermäßigem Alkoholgenuß verleiten', 'vorsätzlich betrunken machen']	kein_Trinken										kein_Trinken
PE01864	er-geben	ergeben	Verb	4	zum Trinker werden	['zum Trinker werden']	kein_Trinken										kein_Trinken
PE02405	Extra-stube	Extrastube	Substantiv	1	Nebenzimmer im Gasthaus für besondere Gäste	['Nebenzimmer im Gasthaus für besondere Gäste']	kein_Trinken										kein_Trinken
PE02410	Extra-zimmer	Extrazimmer	Substantiv	-	Nebenzimmer im Gasthaus für besondere Gäste	['Nebenzimmer im Gasthaus für besondere Gäste']	kein_Trinken										kein_Trinken
PF00099	Fahne, Fahnen	Fahne, Fahnen	Substantiv	6	Atemgeruch nach Alkoholgenuß	['Atemgeruch nach Alkoholgenuß']	kein_Trinken										kein_Trinken
PF00394	Fasanerie	Fasanerie	Substantiv	2	beliebte Einkehrgaststätte bei Zweibr, früher Tiergarten der Herzöge	['beliebte Einkehrgaststätte bei Zweibr', 'früher Tiergarten der Herzöge']	kein_Trinken										kein_Trinken
PF00858	Veit	Veit	Substantiv	2	der Rausch, den man sich antrinkt	['der Rausch, den man sich antrinkt']	kein_Trinken										kein_Trinken
PF00862	felbeln	felbeln	Verb	-	von einem Wirtshaus ins andere gehen	['von einem Wirtshaus ins andere gehen']	kein_Trinken										kein_Trinken
PF00952	Feld-webel	Feldwebel	Substantiv	2	Schaum auf dem Bier	['Schaum auf dem Bier']	kein_Trinken										kein_Trinken
PF00953	Feldwebels-borte	Feldwebelsborte	Substantiv	-	hohe Schaumkrone auf dem Bier	['hohe Schaumkrone auf dem Bier']	kein_Trinken										kein_Trinken
PF01616	ver-katert	verkatert	Adjektiv	-	müde nach durchzechter Nacht	['müde nach durchzechter Nacht']	kein_Trinken										kein_Trinken
PF01986	ver-passen	verpassen	Verb	1b'b	vom Rausch	['vom Rausch']	kein_Trinken										kein_Trinken
PF02146	ver-saufen	versaufen	Verb	1.3a	dem Trunke ergeben, trunksüchtig	['dem Trunke ergeben', 'trunksüchtig']	kein_Trinken										kein_Trinken
PF02146	ver-saufen	versaufen	Verb	1.3b	von Trunkenheit oder Trunksucht zeugend	['von Trunkenheit oder Trunksucht zeugend']	kein_Trinken										kein_Trinken
PF02228	ver-schmachten	verschmachten	Verb	-	verschmachten	['verschmachten']	kein_Trinken			verschmachten	kein_Trinken						kein_Trinken
PF02246	ver-schnäpseln	verschnäpseln	Verb	-	Geld für Schnaps ausgeben	['Geld für Schnaps ausgeben']	kein_Trinken										kein_Trinken
PF02250	ver-schnäuken	verschnäuken	Verb	1a	(Geld) für Näschereien ausgeben	['(Geld) für Näschereien ausgeben']	kein_Trinken										kein_Trinken
PF02529	ver-trinken	vertrinken	Verb	1	für Getränke ausgeben	['für Getränke ausgeben']	kein_Trinken										kein_Trinken
PF02659	ver-zapfen, -zäpfen	verzapfen, verzäpfen	Verb	2a	(durch den Faßzapfen) ausschenken	['(durch den Faßzapfen) ausschenken']	kein_Trinken										kein_Trinken
PF02664	ver-zechen	verzechen	Verb	-	das Geld für Zechgelage ausgeben	['das Geld für Zechgelage ausgeben']	kein_Trinken										kein_Trinken
PF02796	Fetzen	Fetzen	Substantiv	x4c	totaler Rausch	['totaler Rausch']	kein_Trinken										kein_Trinken
PF02806	Fetzer	Fetzer	Substantiv	-	Trinker	['Trinker']	kein_Trinken			Trinker	kein_Trinken						kein_Trinken
PF02810	Feucht-lappen	Feuchtlappen	Substantiv	-	Schimpfwort für einen Trinker	['Schimpfwort für einen Trinker']	kein_Trinken										kein_Trinken
PF03115	Viertel	Viertel	Substantiv	2a'b	18 l (bei Schnaps)	['18 l (bei Schnaps)']	kein_Trinken										kein_Trinken
PF03298	Fips	Fips	Substantiv	1b	Alkoholrausch	['Alkoholrausch']	kein_Trinken			Alkoholrausch	kein_Trinken						kein_Trinken
PF03608	Flasche, Fläsche	Flasche, Fläsche	Substantiv	1a	Flasche, Fläsche	['Flasche', 'Fläsche']	kein_Trinken										kein_Trinken
PF03610	Flaschen-bier	Flaschenbier	Substantiv	-	Flaschenbier	['Flaschenbier']	kein_Trinken			Flaschenbier	kein_Trinken						kein_Trinken
PF03839	Flemme	Flemme	Substantiv	3b	Katzenjammer, starkes Unbehagen, Ermattung als Folge des Alkoholgenusses	['Katzenjammer', 'starkes Unbehagen', 'Ermattung als Folge des Alkoholgenusses']	kein_Trinken										kein_Trinken
PF04005	Flöte	Flöte	Substantiv	2a	schmales Bierglas, 0, 4 l fassend	['schmales Bierglas', '0', '4 l fassend']	kein_Trinken										kein_Trinken
PF04211	voll	voll	Adjektiv	1b'g	betrunken	['betrunken']	kein_Trinken			betrunken	kein_Trinken						kein_Trinken
PF04237	Vollheit	Vollheit	Substantiv	-	Trunkenheit	['Trunkenheit']	kein_Trinken			Trunkenheit	kein_Trinken						kein_Trinken
PF04266	Voll-sau	Vollsau	Substantiv	-	wer sich unmäßig betrinkt, notorischer Trinker	['wer sich unmäßig betrinkt', 'notorischer Trinker']	kein_Trinken								betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken
PF04268	Voll-sauf	Vollsauf	Substantiv	-	Säufer, sinnlos Betrunkener	['Säufer', 'sinnlos Betrunkener']	kein_Trinken										kein_Trinken
PF04275	voll-ständig	vollständig	Adjektiv	1	betrunken	['betrunken']	kein_Trinken			betrunken	kein_Trinken						kein_Trinken
PF04281	Voll-zapfen	Vollzapfen	Substantiv	-	Trunkenbold, Säufer	['Trunkenbold', 'Säufer']	kein_Trinken										kein_Trinken
PF05230	Friedens-linde	Friedenslinde	Substantiv	-	Name eines Gasthauses	['Name eines Gasthauses']	kein_Trinken										kein_Trinken
PF05513	Früh-schoppen	Frühschoppen	Substantiv	-	Frühschoppen	['Frühschoppen']	kein_Trinken			Frühschoppen	kein_Trinken						kein_Trinken
PG00196	Galopp-süffer	Galoppsüffer	Substantiv	-	wer in kurzer Zeit große Mengen Alkohol konsumiert	['wer in kurzer Zeit große Mengen Alkohol konsumiert']	kein_Trinken										kein_Trinken
PG00579	Gassen-schenke	Gassenschenke	Substantiv	-	Schankwirtschaft mit Getränkeausschank, nicht nur an anwesende Gäste	['Schankwirtschaft mit Getränkeausschank', 'nicht nur an anwesende Gäste']	kein_Trinken										kein_Trinken
PG00594	Gast-halter	Gasthalter	Substantiv	-	Inhaber einer Herberge für Durchreisende	['Inhaber einer Herberge für Durchreisende']	kein_Trinken										kein_Trinken
PG00595	Gast-haus	Gasthaus	Substantiv	-	Gaststätte mit Übernachtungsmöglichkeit	['Gaststätte mit Übernachtungsmöglichkeit']	kein_Trinken										kein_Trinken
PG00597	Gast-hof	Gasthof	Substantiv	-	Gasthaus, in dem auch Pferde und Fuhrwerke eingestellt werden können	['Gasthaus', 'in dem auch Pferde und Fuhrwerke eingestellt werden können']	kein_Trinken										kein_Trinken
PG00605	Gast-stube	Gaststube	Substantiv	-	Gaststube	['Gaststube']	kein_Trinken			Gaststube	kein_Trinken						kein_Trinken
PG00606	Gast-wirt	Gastwirt	Substantiv	-	Gastwirt	['Gastwirt']	kein_Trinken			Gastwirt	kein_Trinken						kein_Trinken
PG01038	Ge-fälle	Gefälle	Substantiv	1b	vom Trinker	['vom Trinker']	kein_Trinken										kein_Trinken
PG01600	Geldbeutel-wäsche	Geldbeutelwäsche	Substantiv	-	wenn der letzte Pfennig vertrunken wird	['wenn der letzte Pfennig vertrunken wird']	kein_Trinken										kein_Trinken
PG01719	Gelze	Gelze	Substantiv	2	leichterer Rausch	['leichterer Rausch']	kein_Trinken										kein_Trinken
PG02844	Gewohnheits-säufer, -süffer	Gewohnheitssäufer, Gewohnheitssüffer	Substantiv	-	notorischer Trinker	['notorischer Trinker']	kein_Trinken										kein_Trinken
PG02845	Gewohnheits-trinker	Gewohnheitstrinker	Substantiv	-	notorischer Trinker	['notorischer Trinker']	kein_Trinken										kein_Trinken
PG03002	Gift-hütte	Gifthütte	Substantiv	-	schlechtes Gasthaus	['schlechtes Gasthaus']	kein_Trinken										kein_Trinken
PG03400	Gluckelchen, Gluckel	Gluckelchen, Gluckel	Substantiv	-	Trinkflasche	['Trinkflasche']	kein_Trinken			Trinkflasche	kein_Trinken						kein_Trinken
PG03418	Gluckser, Glückser	Gluckser, Glückser	Substantiv	2a	kleine Branntweinflasche	['kleine Branntweinflasche']	kein_Trinken										kein_Trinken
PG03861	granaten-voll	granatenvoll	Adjektiv	-	stark betrunken	['stark betrunken']	kein_Trinken										kein_Trinken
PG04203	Grind-kopf	Grindkopf	Substantiv	3c	abwertend von einem kleinen Bierfaß	['abwertend von einem kleinen Bierfaß']	kein_Trinken										kein_Trinken
PG04258	Grob-wirt	Grobwirt	Substantiv	-	unhöflicher Gastwirt	['unhöflicher Gastwirt']	kein_Trinken										kein_Trinken
PG04284	Groschen-falle	Groschenfalle	Substantiv	-	Gastwirtschaft, in der man den letzten Groschen ausgibt	['Gastwirtschaft', 'in der man den letzten Groschen ausgibt']	kein_Trinken										kein_Trinken
PH00014	Haar-beutel	Haarbeutel	Substantiv	2	Alkoholrausch	['Alkoholrausch']	kein_Trinken			Alkoholrausch	kein_Trinken						kein_Trinken
PH00103	Haar-zopf	Haarzopf	Substantiv	2c	Alkoholrausch	['Alkoholrausch']	kein_Trinken			Alkoholrausch	kein_Trinken						kein_Trinken
PH00263	Hafer, Hafern	Hafer, Hafern	Substantiv	2a	Alkoholrausch	['Alkoholrausch']	kein_Trinken			Alkoholrausch	kein_Trinken						kein_Trinken
PH00361	hagel-voll	hagelvoll	Adjektiv	-	stark betrunken	['stark betrunken']	kein_Trinken										kein_Trinken
PH00512	halb	halb	Adjektiv	I3c	wenn man 14 Liter Wein u.ä. trinkt	['wenn man 14 Liter Wein u.ä. trinkt']	kein_Trinken								trinken	Trinken	Trinken
PH02056	Hecken-wirt, Heck-wirt	Heckenwirt, Heckwirt	Substantiv	2	geschäftsuntüchtiger Gastwirt	['geschäftsuntüchtiger Gastwirt']	kein_Trinken										kein_Trinken
PH02057	Hecken-wirtschaft, Heck-wirtschaft	Heckenwirtschaft, Heckwirtschaft	Substantiv	2	kleines Weinlokal	['kleines Weinlokal']	kein_Trinken										kein_Trinken
PH02967	Herberge	Herberge	Substantiv	1a	einfaches Gasthaus, bes. für wandernde Handwerksburschen	['einfaches Gasthaus', 'bes. für wandernde Handwerksburschen']	kein_Trinken										kein_Trinken
PH02967	Herberge	Herberge	Substantiv	2c'a	verrufenes Haus, Spelunke	['verrufenes Haus', 'Spelunke']	kein_Trinken										kein_Trinken
PH02969	Herbergs-mutter	Herbergsmutter	Substantiv	1	Herbergswirtin, Frau des Herbergswirts, des Besitzers einer Herberge	['Herbergswirtin', 'Frau des Herbergswirts', 'des Besitzers einer Herberge']	kein_Trinken										kein_Trinken
PH02969	Herbergs-mutter	Herbergsmutter	Substantiv	2	Gastwirtin	['Gastwirtin']	kein_Trinken			Gastwirtin	kein_Trinken						kein_Trinken
PH02970	Herbergs-vater	Herbergsvater	Substantiv	-	Herbergswirt, Besitzer einer Herberge	['Herbergswirt', 'Besitzer einer Herberge']	kein_Trinken										kein_Trinken
PH03293	Herren-stube	Herrenstube	Substantiv	-	Zimmer im Gasthaus für vornehme Gäste	['Zimmer im Gasthaus für vornehme Gäste']	kein_Trinken										kein_Trinken
PH03295	Herren-tisch	Herrentisch	Substantiv	-	Tisch im Gasthaus für vornehme Gäste	['Tisch im Gasthaus für vornehme Gäste']	kein_Trinken										kein_Trinken
PH03555	herum-hängen, -henken	herumhängen, herumhenken	Verb	3	sich oft in Wirtshäusern aufhalten	['sich oft in Wirtshäusern aufhalten']	kein_Trinken										kein_Trinken
PH04415	Hieb	Hieb	Substantiv	3	Alkoholrausch	['Alkoholrausch']	kein_Trinken			Alkoholrausch	kein_Trinken						kein_Trinken
PH04495	Himmel-reich	Himmelreich	Substantiv	2b	Name eines Gasthauses in LU-Altr	['Name eines Gasthauses in LU-Altr']	kein_Trinken										kein_Trinken
PH05512	Hippes	Hippes	Substantiv	-	kleiner Rausch, Halberrücktheit	['kleiner Rausch', 'Halberrücktheit']	kein_Trinken										kein_Trinken
PH05549	Hirsch	Hirsch	Substantiv	2c'b	Gasthaus zum Hirsch	['Gasthaus zum Hirsch']	kein_Trinken										kein_Trinken
PH05587	Hirsch-wirt, -wirtin	Hirschwirt, Hirschwirtin	Substantiv	-	"Inhaber(in) des Gasthauses ""Zum Hirsch"""	"['Inhaber(in) des Gasthauses ""Zum Hirsch""']"	kein_Trinken										kein_Trinken
PH05869	Hocke	Hocke	Substantiv	4	Stammplatz im Wirtshaus	['Stammplatz im Wirtshaus']	kein_Trinken										kein_Trinken
PH05878	hocken-bleiben	hockenbleiben	Verb	3a	(abends) lang ausbleiben	['(abends) lang ausbleiben']	kein_Trinken										kein_Trinken
PH05879	Hocken-bleiber, -bleibersin, Hocken-bleiber, -bleiberin	Hockenbleiber, Hockenbleibersin, Hockenbleiberin	Substantiv	2b	wer lange im Gasthaus herumsitzt	['wer lange im Gasthaus herumsitzt']	kein_Trinken										kein_Trinken
PH05880	hocken-haben	hockenhaben	Verb	-	betrunken sein	['betrunken sein']	kein_Trinken										kein_Trinken
PH05882	Hocker	Hocker	Substantiv	1a	wer lang im Wirtshaus herumsitzt	['wer lang im Wirtshaus herumsitzt']	kein_Trinken										kein_Trinken
PH05915	Hof	Hof	Substantiv	3	Name von Gaststätten	['Name von Gaststätten']	kein_Trinken										kein_Trinken
PH06443	Hopfen-bitter	Hopfenbitter	Substantiv	-	die aus Hopfen gewonnene Bierwürze	['die aus Hopfen gewonnene Bierwürze']	kein_Trinken										kein_Trinken
PH06491	Hopps	Hopps	Substantiv	2	Alkoholrausch	['Alkoholrausch']	kein_Trinken			Alkoholrausch	kein_Trinken						kein_Trinken
PH06502	Horbel	Horbel	Substantiv	1	Alkoholrausch	['Alkoholrausch']	kein_Trinken			Alkoholrausch	kein_Trinken						kein_Trinken
PH06523	Hormel	Hormel	Substantiv	1a	Alkoholrausch	['Alkoholrausch']	kein_Trinken			Alkoholrausch	kein_Trinken						kein_Trinken
