xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Definition_gesplittet	Konzept	Lemma_gemappt	Konzept_Lemma	Def_kurz_gemappt	Konzept_Def_kurz	Def_lang_gemappt	Def_lang_ungemappt	Konzept_Def_lang	Satzwurzel	Konzept_Satzwurzel	Konzept_gemappt
ET01400	beduselt	beduselt	Adjektiv		betrunken	['betrunken']	kein_Trinken			betrunken	kein_Trinken						kein_Trinken
ET01401	duselig	duselig	Adjektiv	3.	leicht betrunken	['leicht betrunken']	kein_Trinken										kein_Trinken
ET01548	Dutt	Dutt	Substantiv	2.	Rausch	['Rausch']	kein_Trinken			Rausch	kein_Trinken						kein_Trinken
ET01844	uf tragen	uf tragen	Verb	1.	auftischen	['auftischen']	kein_Trinken			auftischen	kein_Trinken						kein_Trinken
ET01862	Traget(e)	Tragete, Traget	Substantiv	3.	Rausch	['Rausch']	kein_Trinken			Rausch	kein_Trinken						kein_Trinken
ET01939	Druck	Druck	Substantiv	2.	soviel auf einmal gepresst oder gekeltert wird	['soviel auf einmal gepresst oder gekeltert wird']	kein_Trinken										kein_Trinken
ET02153	tränken	tränken	Verb	1.	das Vieh tränken, scherzh. auch vom Menschen: zu trinken geben	['das Vieh tränken', 'scherzh. auch vom Menschen: zu trinken geben']	kein_Trinken								trinken	Trinken	Trinken
EW00497	Wëll(e)	Wëlle, Wëll	Substantiv	3.	Rausch	['Rausch']	kein_Trinken			Rausch	kein_Trinken						kein_Trinken
EW00723	gewinnen	gewinnen	Verb	2.	Wein abzapfen durch die kleine mit hölzernem Keil verschlossene Öffnung	['Wein abzapfen durch die kleine mit hölzernem Keil verschlossene Öffnung']	kein_Trinken										kein_Trinken
EW00919	wërden	wërden	Verb	5.	beim Kartenspiel die Zeche oder einen Teil derselben verlieren	['beim Kartenspiel die Zeche oder einen Teil derselben verlieren']	kein_Trinken										kein_Trinken
EW00952	würflen	würflen	Verb	2.	sich erbrechen, besonders infolge von Trunkenheit	['sich erbrechen', 'besonders infolge von Trunkenheit']	kein_Trinken										kein_Trinken
EW01086	Wirt, Wurt, Wert	Wirt, Wurt, Wert	Substantiv		Wirt, Gastwirt	['Wirt', 'Gastwirt']	kein_Trinken										kein_Trinken
EW01088	Wirtinne, Wirten	Wirtinne, Wirten	Substantiv		Wirtin	['Wirtin']	kein_Trinken			Wirtin	kein_Trinken						kein_Trinken
EW01090	Wirtschaft	Wirtschaft	Substantiv		Wirtschaft, Wirtshaus	['Wirtschaft', 'Wirtshaus']	kein_Trinken										kein_Trinken
EW01297	Wäsch  I	Wäsch	Substantiv	3.	Weinstein	['Weinstein']	kein_Trinken			Weinstein	kein_Trinken						kein_Trinken
EZ00047	verzëchen	verzëchen	Verb		verzechen	['verzechen']	kein_Trinken			verzechen	kein_Trinken						kein_Trinken
EZ00429	Zapfen	Zapfen	Substantiv	1.	Zapfen am Fass, der Flasche, am Gebälk	['Zapfen am Fass, der Flasche', 'am Gebälk']	kein_Trinken										kein_Trinken
EZ00429	Zapfen	Zapfen	Substantiv	4.	Trinker	['Trinker']	kein_Trinken			Trinker	kein_Trinken						kein_Trinken
EZ00429	Zapfen	Zapfen	Substantiv	5.	Rausch	['Rausch']	kein_Trinken			Rausch	kein_Trinken						kein_Trinken
EZ00445	Vollzapfen	Vollzapfen	Substantiv		Trunkenbold	['Trunkenbold']	kein_Trinken			Trunkenbold	kein_Trinken						kein_Trinken
EZ00451	zapfen	zapfen	Verb		Wein schenken	['Wein schenken']	kein_Trinken										kein_Trinken
EZ00456	Zäpfer	Zäpfer	Substantiv	1.	Trinker	['Trinker']	kein_Trinken			Trinker	kein_Trinken						kein_Trinken
EZ00475	Zopf	Zopf	Substantiv	5.	Rausch	['Rausch']	kein_Trinken			Rausch	kein_Trinken						kein_Trinken
EZ00494	verzehren	verzehren	Verb	2.	in einem Wirtshaus ausgeben (nicht bloss für Nahrung), konsumieren	['in einem Wirtshaus ausgeben (nicht bloss für Nahrung)', 'konsumieren']	kein_Trinken										kein_Trinken
EZ00613	Zottel	Zottel	Substantiv	3.	Hals einer Flasche; Ansatzstück einer Giesskanne	['Hals einer Flasche', 'Ansatzstück einer Giesskanne']	kein_Trinken										kein_Trinken
