xml:id	Lemma	Wortart	Level	Definition	Konzept
CB01660	puddlen	refl. v.	1.	im Wasser plätschern	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CB01660	puddlen	refl. v.	3.	sich im schmutzigen Wasser, im Kot wälzen. Reimspruch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CB01688	Bull	f.		Blase, die sich auf dem Wasser bildet	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CB01717	Pupeller			Schmetterling	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CB01735	Burwasser			Brunnenwasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CB01772	bu'stawieren			buchstabieren	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier
CD00053	däfen	tr. v.	2.	Wein mit Wasser durchsetzen allg	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CD00081	Dam	f.	2.	Wasserjungfer	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CD00093	Damp	m.	3.	Rausch, Betäubung durch geistige Getränke	Getränk
CD00124	Danz-dere-männchen	m.		Schlüsselblume. Die Kinder ziehen den Stempel aus der Blüte und stellen ihn mit dem Fruchtknoten auf stilles Wasser: er tanzt alsdann	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CD00215	Dei	m.		Krume	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CD00282	Dempel	m.		Tümpel, tiefe Stelle im Wasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CD00368	Dick-milch			(Dek-melech) f. sauer Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
CD00392	dieschten	intr. v.		dursten	Durst
CD00447	Dirmeler	m.	1.	Herumschlenderer	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CD00551	Tods-amen	m.		Metzeresch	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CD00590	tompen		2.	schlummern, nippen	Trinken.Langsam_kleine_Mengen_trinken
CD00696	Drankâpel	m.		Weinapfel	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CD00697	Drank-bir	f.		Weinbirne	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
